"Id
===
Id
===
int-c","名称
===
Name
===
string-c","描述
===
Desc
===
string-c","图标ShowID
===
ShowID
===
int-c","分类
===
LogicClass
===
int-c","效果ID0
===
Impacts0
===
int-c","效果ID1
===
Impacts1
===
int-c","效果ID2
===
Impacts2
===
int-c","效果ID3
===
Impacts3
===
int-c","效果ID4
===
Impacts4
===
int-c","效果ID5
===
Impacts5
===
int-c","自身状态
===
StateSelf
===
int-c","目标状态
===
StateTarget
===
int-c","效果ID0
===
StateImpacts0
===
int-c","效果ID1
===
StateImpacts1
===
int-c","效果ID2
===
StateImpacts2
===
int-c","效果ID3
===
StateImpacts3
===
int-c","效果ID4
===
StateImpacts4
===
int-c","效果ID5
===
StateImpacts5
===
int-c"
1002,落地_冰环,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1003,落地_冰雨,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1004,落地_大冰锥,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1005,落地,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1006,落地_大落雷,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1007,落地_雷球,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1008,落地_龙卷风,-1,-1,-1,8,10007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1009,落地_群雷,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1010,落地_小旋风,-1,-1,-1,8,10006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011,落地_大爆炸,-1,-1,-1,8,10095,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1012,落地_大火球,-1,-1,-1,8,10099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1013,落地_地火,-1,-1,-1,8,10098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1014,落地_火焰喷发,-1,-1,-1,8,10095,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1015,落地_火雨,-1,-1,-1,8,10095,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1016,落地_小爆炸,-1,-1,-1,8,10095,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1017,落地_剑雨,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1018,落地_崩地,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1019,落地_毒水潭,-1,-1,-1,8,10026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020,落地_流沙,-1,-1,-1,8,10090,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1021,落地_落石,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1500,飞行_电光,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1501,飞行_电球,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1502,飞行_风刃,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1503,飞行_落雷,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1504,飞行_大火弹,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1505,飞行_火弹,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1506,飞行_火球,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1507,飞行_火刃,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1508,飞行_冰箭,-1,-1,-1,101,10086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1509,飞行_冰箭02,-1,-1,-1,101,10087,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1510,飞行_大剑刃,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1511,飞行_大剑矢,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1512,飞行_凤凰,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1513,飞行_火箭,-1,-1,-1,101,10095,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1514,飞行_火箭02,-1,-1,-1,101,10096,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1515,飞行_剑刃01,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1516,飞行_剑刃02,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1517,飞行_箭矢,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1518,飞行_飞石,-1,-1,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#武将技能,,,,,,,,,,,,,,,,,,
10000,白起-坚韧Lv1,,-1,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10001,白起-坚韧Lv2,,-1,-1,10001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10002,白起-坚韧Lv3,,-1,-1,10002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10003,白起-坚韧Lv4,,-1,-1,10003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10004,白起-坚韧Lv5,,-1,-1,10004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10005,眩晕1秒,,-1,-1,10005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10006,眩晕2秒,,-1,-1,10006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10007,眩晕3秒,,-1,-1,10007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10008,眩晕4秒,,-1,-1,10008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10009,眩晕5秒,,-1,-1,10009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10010,永久石化,,-1,-1,10010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10011,典韦-石化效果Lv1（作废）,,-1,-1,10011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10012,典韦-石化效果Lv2（作废）,,-1,-1,10012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10013,典韦-石化效果Lv3（作废）,,-1,-1,10013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10014,典韦-石化效果Lv4（作废）,,-1,-1,10014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10015,典韦-石化效果Lv5（作废）,,-1,-1,10015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10016,减速1秒,,-1,-1,10016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10017,减速2秒,,-1,-1,10017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10018,减速3秒,,-1,-1,10018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10019,减速4秒,,-1,-1,10019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10020,减速5秒,,-1,-1,10020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10021,永久减速,,-1,-1,10021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10022,5秒流血0.5%,,-1,-1,10022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10023,5秒流血1%,,-1,-1,10023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10024,5秒流血1.5%,,-1,-1,10024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10025,5秒流血2%,,-1,-1,10025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10026,5秒流血2.5%,,-1,-1,10026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10027,5秒流血3%,,-1,-1,10027,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10028,5秒流血3.5%,,-1,-1,10028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10029,5秒流血4%,,-1,-1,10029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10030,5秒流血4.5%,,-1,-1,10030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10031,5秒流血5%,,-1,-1,10031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10032,5秒流血8%,,-1,-1,10032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10033,5秒流血10%,,-1,-1,10033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10034,攻击力下降30%,,-1,-1,10034,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10035,攻击力下降40%,,-1,-1,10035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10036,攻击力下降50%,,-1,-1,10036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10037,攻击力下降60%,,-1,-1,10037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10038,攻击力下降70%,,-1,-1,10038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10039,哪咤-风火光环Lv1,,-1,-1,10039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10040,哪咤-风火光环Lv2,,-1,-1,10040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10041,哪咤-风火光环Lv3,,-1,-1,10041,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10042,哪咤-风火光环Lv4,,-1,-1,10042,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10043,哪咤-风火光环Lv5,,-1,-1,10043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10044,无敌5秒,,-1,-1,10044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10045,无敌10秒,,-1,-1,10045,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10046,无敌15秒,,-1,-1,10046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10047,无敌20秒,,-1,-1,10047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10048,无敌30秒,,-1,-1,10048,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10049,闻仲-复活效果,,-1,-1,10049,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10050,闻仲-复活效果,,-1,-1,10050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10051,闻仲-复活效果,,-1,-1,10051,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10052,闻仲-复活效果,,-1,-1,10052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10053,闻仲-复活效果,,-1,-1,10053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10054,闻仲-清除复活效果,,-1,-1,10054,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10055,闻仲-清除复活效果,,-1,-1,10055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10056,闻仲-清除复活效果,,-1,-1,10056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10057,闻仲-清除复活效果,,-1,-1,10057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10058,闻仲-清除复活效果,,-1,-1,10058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10059,武则天-生命光环,,-1,-1,10059,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10060,武则天-生命光环,,-1,-1,10060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10061,武则天-生命光环,,-1,-1,10061,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10062,武则天-生命光环,,-1,-1,10062,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10063,武则天-生命光环,,-1,-1,10063,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10064,武则天-燃烧躯体,,-1,-1,10064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10065,武则天-燃烧躯体,,-1,-1,10065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10066,武则天-燃烧躯体,,-1,-1,10066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10067,武则天-燃烧躯体,,-1,-1,10067,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10068,武则天-燃烧躯体,,-1,-1,10068,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10069,风沙10秒-3秒,,-1,-1,10069,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10070,风沙20秒-3秒,,-1,-1,10070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10071,风沙30秒-3秒,,-1,-1,10071,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10072,风沙10秒-2秒,,-1,-1,10072,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10073,风沙20秒-2秒,,-1,-1,10073,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10074,风沙30秒-2秒,,-1,-1,10074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10075,西施-魔力护体,,-1,-1,10075,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10076,西施-魔力护体,,-1,-1,10076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10077,西施-魔力护体,,-1,-1,10077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10078,西施-魔力护体,,-1,-1,10078,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10079,西施-魔力护体,,-1,-1,10079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10080,杨贵妃-无双光环,,-1,-1,10080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10081,杨贵妃-无双光环,,-1,-1,10081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10082,杨贵妃-无双光环,,-1,-1,10082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10083,杨贵妃-无双光环,,-1,-1,10083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10084,杨贵妃-无双光环,,-1,-1,10084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10085,冰封1秒,,-1,-1,10085,10017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10086,冰封2秒,,-1,-1,10086,10019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10087,冰封3秒,,-1,-1,10087,10090,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10088,冰封4秒,,-1,-1,10088,10092,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10089,冰封5秒,,-1,-1,10089,10094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10090,减速6秒,,-1,-1,10090,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10091,减速7秒,,-1,-1,10091,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10092,减速8秒,,-1,-1,10092,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10093,减速9秒,,-1,-1,10093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10094,减速10秒,,-1,-1,10094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10095,灼烧2秒,,-1,-1,10095,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10096,灼烧4秒,,-1,-1,10096,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10097,灼烧6秒,,-1,-1,10097,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10098,灼烧8秒,,-1,-1,10098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10099,灼烧10秒,,-1,-1,10099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10100,赵云-吸血光环Lv1,,-1,-1,10100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10101,赵云-吸血光环Lv2,,-1,-1,10101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10102,赵云-吸血光环Lv3,,-1,-1,10102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10103,赵云-吸血光环Lv4,,-1,-1,10103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10104,赵云-吸血光环Lv5,,-1,-1,10104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10105,妲己-媚狐踪影Lv1,,-1,-1,10105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10106,妲己-媚狐踪影Lv1,,-1,-1,10106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10107,妲己-媚狐踪影Lv1,,-1,-1,10107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10108,妲己-媚狐踪影Lv2,,-1,-1,10108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10109,妲己-媚狐踪影Lv2,,-1,-1,10109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10110,妲己-媚狐踪影Lv2,,-1,-1,10110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10111,妲己-媚狐踪影Lv3,,-1,-1,10111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10112,妲己-媚狐踪影Lv3,,-1,-1,10112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10113,妲己-媚狐踪影Lv3,,-1,-1,10113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10114,妲己-媚狐踪影Lv4,,-1,-1,10114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10115,妲己-媚狐踪影Lv4,,-1,-1,10115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10116,妲己-媚狐踪影Lv4,,-1,-1,10116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10117,妲己-媚狐踪影Lv5,,-1,-1,10117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10118,妲己-媚狐踪影Lv5,,-1,-1,10118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10119,妲己-媚狐踪影Lv5,,-1,-1,10119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#怪物技能,,,,,,,,,,,,,,,,,,
50000,白起-坚韧Lv1,,-1,-1,50000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#BOSS技能,,,,,,,,,,,,,,,,,,
100000,白起-坚韧Lv1,,-1,-1,100000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#陷阱类伤害,,,,,,,,,,,,,,,,,,
1000000,地刺,,-1,-1,1000000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1001000,炮烙,,-1,-1,1001000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1002000,落雷1,,-1,-1,1002000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1002001,落雷1,,-1,-1,1002001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1002002,落雷1,,-1,-1,1002002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1002003,落雷1,,-1,-1,1002003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1002004,落雷1,,-1,-1,1002004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1003000,地刺2,,-1,-1,1003000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1004000,箭塔,,-1,-1,1004000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1005000,炮烙2,,-1,-1,1005000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#主角-斧,,,,,,,,,,,,,,,,,,
10000000,斧-普通攻击1,,-1,-1,10000000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10000010,斧-普通攻击2,,-1,-1,10000010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10000020,斧-普通攻击3,,-1,-1,10000020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10000030,斧-普通攻击4,,-1,-1,10000030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10000031,斧-普通攻击4,,-1,-1,10000031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10000040,斧-普通攻击5,,-1,-1,10000040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10100001,斧-闪避,,-1,-1,10100001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10300010,斧-前冲2-1,,-1,-1,10300010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10300011,斧-前冲2-2,,-1,-1,10300011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10300020,斧-前冲3-1,,-1,-1,10300020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10300021,斧-前冲3-2,,-1,-1,10300021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10300030,斧-前冲4-1,,-1,-1,10300030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10300040,斧-前冲5,,-1,-1,10300040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10300050,斧-前冲6,,-1,-1,10300050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10400009,斧-无双Lv1-1,,-1,-1,10400009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10400010,斧-无双Lv1-2,,-1,-1,10400010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10400011,斧-无双Lv1-2,,-1,-1,10400011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10400012,斧-无双Lv1-2,,-1,-1,10400012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10400013,斧-无双Lv1-2,,-1,-1,10400013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10400019,斧-无双Lv1-2,,-1,-1,10400019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10500000,斧-无双Lv2-1,,-1,-1,10500000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10500001,斧-无双Lv2-1,,-1,-1,10500001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
