"Id
===
Id
===
int-c","说明
===
Desc
===
string-c","关卡Id
===
StageId
===
int-c","怪物Id
===
MonsterId
===
int-c","怪物数量
===
MonsterCount
===
int-c","物品ID0
===
ItemID0
===
int-c","物品ID1
===
ItemID1
===
int-c","物品ID2
===
ItemID2
===
int-c","物品ID3
===
ItemID3
===
int-c","物品ID4
===
ItemID4
===
int-c","物品ID5
===
ItemID5
===
int-c","物品ID6
===
ItemID6
===
int-c","物品ID7
===
ItemID7
===
int-c","物品ID8
===
ItemID8
===
int-c","物品ID9
===
ItemID9
===
int-c","物品ID10
===
ItemID10
===
int-c","物品ID11
===
ItemID11
===
int-c","物品ID12
===
ItemID12
===
int-c","物品ID13
===
ItemID13
===
int-c","物品ID14
===
ItemID14
===
int-c","金币比重
===
MoneyProportion
===
float-c","钻石比重
===
DiamondProportion
===
float-c"
2074,女杀手,116,2074,10,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2075,女杀手头领,116,2075,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第一章.7,,,,,,,,,,,,,,,,,,,,,
2081,闻仲（boss）,117,2081,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2082,持斧山贼,117,2082,11,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2083,持斧山贼队长,117,2083,8,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2084,女杀手,117,2084,13,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2085,女杀手头领,117,2085,7,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第一章.8,,,,,,,,,,,,,,,,,,,,,
2091,锤兵,118,2091,9,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2092,锤兵队长,118,2092,2,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2093,女杀手,118,2093,15,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2094,女杀手头领,118,2094,5,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2095,妲己（boss）,118,2095,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2096,纣王（boss）,118,2096,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2097,哪吒(友),118,2097,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2098,姜子牙(友),118,2098,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第二章.1,,,,,,,,,,,,,,,,,,,,,
2101,雷震子（boss）,121,2101,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2102,剑兵,121,2102,8,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2103,剑兵队长,121,2103,5,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2104,持斧山贼,121,2104,10,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2105,持斧山贼队长,121,2105,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第二章.2,,,,,,,,,,,,,,,,,,,,,
2111,锤兵,122,2111,19,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2112,锤兵队长,122,2112,7,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2113,刀兵,122,2113,17,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2114,刀兵队长,122,2114,7,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2115,剑兵,122,2115,17,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2116,剑兵队长,122,2116,8,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2117,哪吒（boss）,122,2117,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2118,姜子牙（boss）,122,2118,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第二章.3,,,,,,,,,,,,,,,,,,,,,
2121,刀兵,123,2121,11,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2122,刀兵队长,123,2122,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2123,剑兵,123,2123,14,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2124,剑兵队长,123,2124,4,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2125,女杀手,123,2125,12,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2126,女杀手头领,123,2126,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第二章.4,,,,,,,,,,,,,,,,,,,,,
2131,鲁班（boss）,124,2131,12,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2132,刀兵,124,2132,4,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2133,刀兵队长,124,2133,11,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2134,持斧山贼,124,2134,4,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2135,持斧山贼队长,124,2135,8,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2136,剑兵,124,2136,5,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2137,剑兵队长,124,2137,2,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第二章.5,,,,,,,,,,,,,,,,,,,,,
2141,刀兵,125,2141,11,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2142,刀兵队长,125,2142,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2143,剑兵,125,2143,14,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2144,剑兵队长,125,2144,4,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2145,女杀手,125,2145,12,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2146,女杀手头领,125,2146,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第二章.6,,,,,,,,,,,,,,,,,,,,,
2151,幼鹰,126,2151,12,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2152,噬骨巨鹰,126,2152,2,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2153,刺虎,126,2153,14,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2154,铁背妖虎,126,2154,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2155,水牛,126,2155,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2156,长角水牛,126,2156,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第二章.7,,,,,,,,,,,,,,,,,,,,,
2161,狄仁杰（boss）,127,2161,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2162,刀兵,127,2162,4,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2163,刀兵队长,127,2163,11,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2164,少林棍僧,127,2164,13,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2165,棍僧队长,127,2165,8,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2166,弓箭兵,127,2166,5,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2167,弓箭兵队长,127,2167,2,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第三章.1,,,,,,,,,,,,,,,,,,,,,
2171,刀兵,131,2171,11,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2172,刀兵队长,131,2172,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2173,持斧山贼,131,2173,14,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2174,持斧山贼队长,131,2174,12,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2175,女杀手,131,2175,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2176,女杀手头领,131,2176,4,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第三章.2,,,,,,,,,,,,,,,,,,,,,
2181,西施(友),132,2181,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2182,刀兵,132,2182,20,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2183,刀兵队长,132,2183,30,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2184,持斧山贼,132,2184,26,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2185,持斧山贼队长,132,2185,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2186,剑兵,132,2186,26,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2187,剑兵队长,132,2187,16,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2188,女杀手,132,2188,33,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2189,女杀手头领,132,2189,14,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第三章.3,,,,,,,,,,,,,,,,,,,,,
2191,幼鹰,133,2191,12,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2192,噬骨巨鹰,133,2192,2,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2193,刺虎,133,2193,14,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2194,铁背妖虎,133,2194,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2195,水牛,133,2195,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2196,长角水牛,133,2196,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2197,女杀手,133,2197,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2198,女杀手头领,133,2198,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2199,西施(友),133,2199,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第三章.4,,,,,,,,,,,,,,,,,,,,,
2201,刀兵,134,2201,12,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2202,刀兵队长,134,2202,2,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2203,少林棍僧,134,2203,4,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2204,棍僧队长,134,2204,5,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2205,弓箭兵,134,2205,13,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2206,弓箭兵队长,134,2206,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2207,廉颇（boss）,134,2207,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第三章.5,,,,,,,,,,,,,,,,,,,,,
2211,刀兵,135,2211,9,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2212,刀兵队长,135,2212,2,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2213,少林棍僧,135,2213,14,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2214,棍僧队长,135,2214,3,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2215,弓箭兵,135,2215,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2216,弓箭兵队长,135,2216,6,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2217,廉颇（boss）,135,2217,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第三章.6,,,,,,,,,,,,,,,,,,,,,
2222,刀兵,136,2222,20,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2223,刀兵队长,136,2223,30,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2224,锤兵,136,2224,26,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2225,锤兵队长,136,2225,1,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2226,剑兵,136,2226,26,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2227,剑兵队长,136,2227,16,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2228,女杀手,136,2228,33,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2229,女杀手头领,136,2229,14,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第三章.7,,,,,,,,,,,,,,,,,,,,,
2231,白起（boss）,137,2231,3,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2232,刀兵,137,2232,12,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2233,刀兵队长,137,2233,11,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2234,少林棍僧,137,2234,3,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2235,棍僧队长,137,2235,8,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2236,弓箭兵,137,2236,5,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2237,弓箭兵队长,137,2237,2,50001,50021,50041,50081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
