"Id
===
Id
===
int-c","目标方案名称
===
Name
===
string-c","目标方案描述
===
Desc
===
string-c","目标计算的中心点
===
PointName
===
string-c","中心点X轴偏移量
===
StartPointX
===
float-c","中心点Y轴偏移量
===
StartPointY
===
float-c","中心点Z轴偏移量
===
StartPointZ
===
float-c","目标阵营
===
TargetClass
===
int-c","是否选择死亡单位
===
IsSelectDead
===
bool-c","目标选择脚本名
===
TargetScript
===
string-c","脚本参数0
===
ParamValues0
===
string-c","脚本参数1
===
ParamValues1
===
string-c","脚本参数2
===
ParamValues2
===
string-c","脚本参数3
===
ParamValues3
===
string-c","脚本参数4
===
ParamValues4
===
string-c","脚本参数5
===
ParamValues5
===
string-c"
1025,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,5,-1,-1,-1
1026,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,10,-1,-1,-1
1027,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,15,-1,-1,-1
1028,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,20,-1,-1,-1
1029,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,25,-1,-1,-1
1030,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,30,-1,-1,-1
1031,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,35,-1,-1,-1
1032,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,40,-1,-1,-1
1033,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,45,-1,-1,-1
1034,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,50,-1,-1,-1
1035,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,55,-1,-1,-1
1036,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,60,-1,-1,-1
1037,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,65,-1,-1,-1
1038,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,70,-1,-1,-1
1039,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,75,-1,-1,-1
1040,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,80,-1,-1,-1
1041,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,85,-1,-1,-1
1042,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,90,-1,-1,-1
1043,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,95,-1,-1,-1
1044,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,100,-1,-1,-1
1045,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,105,-1,-1,-1
1046,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,110,-1,-1,-1
1047,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,115,-1,-1,-1
1048,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,1.5,20,120,-1,-1,-1
1049,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,5,-1,-1,-1
1050,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,10,-1,-1,-1
1051,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,15,-1,-1,-1
1052,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,20,-1,-1,-1
1053,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,25,-1,-1,-1
1054,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,30,-1,-1,-1
1055,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,35,-1,-1,-1
1056,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,40,-1,-1,-1
1057,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,45,-1,-1,-1
1058,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,50,-1,-1,-1
1059,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,55,-1,-1,-1
1060,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,60,-1,-1,-1
1061,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,65,-1,-1,-1
1062,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,70,-1,-1,-1
1063,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,75,-1,-1,-1
1064,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,80,-1,-1,-1
1065,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,85,-1,-1,-1
1066,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,90,-1,-1,-1
1067,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,95,-1,-1,-1
1068,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,100,-1,-1,-1
1069,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,105,-1,-1,-1
1070,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,110,-1,-1,-1
1071,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,115,-1,-1,-1
1072,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2,20,120,-1,-1,-1
1073,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,5,-1,-1,-1
1074,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,10,-1,-1,-1
1075,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,15,-1,-1,-1
1076,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,20,-1,-1,-1
1077,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,25,-1,-1,-1
1078,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,30,-1,-1,-1
1079,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,35,-1,-1,-1
1080,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,40,-1,-1,-1
1081,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,45,-1,-1,-1
1082,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,50,-1,-1,-1
1083,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,55,-1,-1,-1
1084,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,60,-1,-1,-1
1085,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,65,-1,-1,-1
1086,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,70,-1,-1,-1
1087,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,75,-1,-1,-1
1088,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,80,-1,-1,-1
1089,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,85,-1,-1,-1
1090,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,90,-1,-1,-1
1091,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,95,-1,-1,-1
1092,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,100,-1,-1,-1
1093,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,105,-1,-1,-1
1094,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,110,-1,-1,-1
1095,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,115,-1,-1,-1
1096,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,2.5,20,120,-1,-1,-1
1097,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,5,-1,-1,-1
1098,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,10,-1,-1,-1
1099,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,15,-1,-1,-1
1100,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,20,-1,-1,-1
1101,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,25,-1,-1,-1
1102,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,30,-1,-1,-1
1103,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,35,-1,-1,-1
1104,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,40,-1,-1,-1
1105,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,45,-1,-1,-1
1106,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,50,-1,-1,-1
1107,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,55,-1,-1,-1
1108,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,60,-1,-1,-1
1109,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,65,-1,-1,-1
1110,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,70,-1,-1,-1
1111,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,75,-1,-1,-1
1112,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,80,-1,-1,-1
1113,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,85,-1,-1,-1
1114,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,90,-1,-1,-1
1115,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,95,-1,-1,-1
1116,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,100,-1,-1,-1
1117,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,105,-1,-1,-1
1118,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,110,-1,-1,-1
1119,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,115,-1,-1,-1
1120,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3,20,120,-1,-1,-1
1121,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,5,-1,-1,-1
1122,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,10,-1,-1,-1
1123,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,15,-1,-1,-1
1124,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,20,-1,-1,-1
1125,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,25,-1,-1,-1
1126,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,30,-1,-1,-1
1127,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,35,-1,-1,-1
1128,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,40,-1,-1,-1
1129,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,45,-1,-1,-1
1130,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,50,-1,-1,-1
1131,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,55,-1,-1,-1
1132,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,60,-1,-1,-1
1133,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,65,-1,-1,-1
1134,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,70,-1,-1,-1
1135,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,75,-1,-1,-1
1136,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,80,-1,-1,-1
1137,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,85,-1,-1,-1
1138,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,90,-1,-1,-1
1139,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,95,-1,-1,-1
1140,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,100,-1,-1,-1
1141,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,105,-1,-1,-1
1142,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,110,-1,-1,-1
1143,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,115,-1,-1,-1
1144,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,3.5,20,120,-1,-1,-1
1145,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,5,-1,-1,-1
1146,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,10,-1,-1,-1
1147,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,15,-1,-1,-1
1148,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,20,-1,-1,-1
1149,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,25,-1,-1,-1
1150,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,30,-1,-1,-1
1151,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,35,-1,-1,-1
1152,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,40,-1,-1,-1
1153,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,45,-1,-1,-1
1154,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,50,-1,-1,-1
1155,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,55,-1,-1,-1
1156,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,60,-1,-1,-1
1157,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,65,-1,-1,-1
1158,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,70,-1,-1,-1
1159,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,75,-1,-1,-1
1160,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,80,-1,-1,-1
1161,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,85,-1,-1,-1
1162,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,90,-1,-1,-1
1163,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,95,-1,-1,-1
1164,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,100,-1,-1,-1
1165,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,105,-1,-1,-1
1166,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,110,-1,-1,-1
1167,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,115,-1,-1,-1
1168,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4,20,120,-1,-1,-1
1169,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,5,-1,-1,-1
1170,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,10,-1,-1,-1
1171,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,15,-1,-1,-1
1172,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,20,-1,-1,-1
1173,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,25,-1,-1,-1
1174,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,30,-1,-1,-1
1175,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,35,-1,-1,-1
1176,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,40,-1,-1,-1
1177,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,45,-1,-1,-1
1178,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,50,-1,-1,-1
1179,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,55,-1,-1,-1
1180,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,60,-1,-1,-1
1181,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,65,-1,-1,-1
1182,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,70,-1,-1,-1
1183,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,75,-1,-1,-1
1184,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,80,-1,-1,-1
1185,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,85,-1,-1,-1
1186,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,90,-1,-1,-1
1187,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,95,-1,-1,-1
1188,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,100,-1,-1,-1
1189,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,105,-1,-1,-1
1190,圆柱扇形,-1,self,0,0,0,1,1,SkillTargetScript_CollideSector2,4.5,20,110,-1,-1,-1
