"Id
===
Id
===
int-c","方案名称
===
Name
===
string-c","方案描述
===
Desc
===
string-c","子弹发射点
===
StartPoint
===
string-c","发射点X轴偏移量
===
StartPointX
===
float-c","发射点Y轴偏移量
===
StartPointY
===
float-c","发射点Z轴偏移量
===
StartPointZ
===
float-c","子弹ID
===
BulletID
===
int-c","子弹总数量
===
SendNum
===
int-c","发射间隔
===
SendInterval
===
float-c","每次间隔发射数量
===
SendNumPerInterval
===
int-c","发射位置方向修正脚本
===
ModifyScript
===
string-c","脚本参数0
===
ModifyParamValues0
===
string-c","脚本参数1
===
ModifyParamValues1
===
string-c","脚本参数2
===
ModifyParamValues2
===
string-c","脚本参数3
===
ModifyParamValues3
===
string-c","脚本参数4
===
ModifyParamValues4
===
string-c","脚本参数5
===
ModifyParamValues5
===
string-c"
219,妲己-媚狐踪影Lv2,-1,self,4,0,-4,219,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
220,妲己-媚狐踪影Lv3,-1,self,4,0,-4,220,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
221,妲己-媚狐踪影Lv4,-1,self,4,0,-4,221,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
222,妲己-媚狐踪影Lv5,-1,self,4,0,-4,222,1,0,0,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
223,貂蝉-旋转冰锥Lv1,-1,self,0,3,0,223,8,0,0,BulletEmitScript_MultiShot,360,-1,-1,-1,-1,-1
224,貂蝉-旋转冰锥Lv2,-1,self,0,3,0,224,8,0,0,BulletEmitScript_MultiShot,360,-1,-1,-1,-1,-1
225,貂蝉-旋转冰锥Lv3,-1,self,0,3,0,225,8,0,0,BulletEmitScript_MultiShot,360,-1,-1,-1,-1,-1
226,貂蝉-旋转冰锥Lv4,-1,self,0,3,0,226,8,0,0,BulletEmitScript_MultiShot,360,-1,-1,-1,-1,-1
227,貂蝉-旋转冰锥Lv5,-1,self,0,3,0,227,8,0,0,BulletEmitScript_MultiShot,360,-1,-1,-1,-1,-1
228,狄仁杰-火柱冲天Lv1,-1,self,2,0,0,228,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
229,狄仁杰-火柱冲天Lv2,-1,self,2,0,0,229,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
230,狄仁杰-火柱冲天Lv3,-1,self,2,0,0,230,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
231,狄仁杰-火柱冲天Lv4,-1,self,2,0,0,231,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
232,狄仁杰-火柱冲天Lv5,-1,self,2,0,0,232,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
233,雷震子-雷链Lv1,-1,self,1,0,0,233,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
234,雷震子-雷链Lv2,-1,self,1,0,0,234,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
235,雷震子-雷链Lv3,-1,self,1,0,0,235,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
236,雷震子-雷链Lv4,-1,self,1,0,0,236,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
237,雷震子-雷链Lv5,-1,self,1,0,0,237,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
238,廉颇-暴怒尘土Lv1,-1,self,3,0,0,238,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
239,廉颇-暴怒尘土Lv2,-1,self,3,0,0,239,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
240,廉颇-暴怒尘土Lv3,-1,self,3,0,0,240,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
241,廉颇-暴怒尘土Lv4,-1,self,3,0,0,241,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
242,廉颇-暴怒尘土Lv5,-1,self,3,0,0,242,3,0,0,BulletEmitScript_ForwardLine,2,-1,-1,-1,-1,-1
243,鲁班-普通攻击,-1,self,0,0,0,243,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
244,鲁班-普通攻击,-1,self,0,0,0,244,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
245,鲁班-普通攻击,-1,self,0,0,0,245,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
246,鲁班-普通攻击,-1,self,0,0,0,246,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
247,鲁班-普通攻击,-1,self,0,0,0,247,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
248,鲁班-燃烧机枪,-1,self,0,0,0,248,1,0,0,-1,1,-1,-1,-1,-1,-1
249,鲁班-燃烧机枪,-1,self,0,0,0,249,1,0,0,-1,1,-1,-1,-1,-1,-1
250,鲁班-燃烧机枪,-1,self,0,0,0,250,1,0,0,-1,1,-1,-1,-1,-1,-1
251,鲁班-燃烧机枪,-1,self,0,0,0,251,1,0,0,-1,1,-1,-1,-1,-1,-1
252,鲁班-燃烧机枪,-1,self,0,0,0,252,1,0,0,-1,1,-1,-1,-1,-1,-1
253,闻仲-普通攻击,-1,self,2,0,2,253,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
254,闻仲-普通攻击,-1,self,2,0,2,254,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
255,闻仲-普通攻击,-1,self,2,0,2,255,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
256,闻仲-普通攻击,-1,self,2,0,2,256,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
257,闻仲-普通攻击,-1,self,2,0,2,257,3,0,0,BulletEmitScript_MultiShot,50,-1,-1,-1,-1,-1
258,武则天-普通攻击,-1,self,0,0,0,258,1,0,0,-1,-1,-1,-1,-1,-1,-1
259,武则天-普通攻击,-1,self,0,0,0,259,1,0,0,-1,-1,-1,-1,-1,-1,-1
260,武则天-普通攻击,-1,self,0,0,0,260,1,0,0,-1,-1,-1,-1,-1,-1,-1
261,武则天-普通攻击,-1,self,0,0,0,261,1,0,0,-1,-1,-1,-1,-1,-1,-1
262,武则天-普通攻击,-1,self,0,0,0,262,1,0,0,-1,-1,-1,-1,-1,-1,-1
263,武则天-凤凰涅槃,-1,self,0,0,0,263,1,0,0,-1,-1,-1,-1,-1,-1,-1
264,武则天-凤凰涅槃,-1,self,0,0,0,264,1,0,0,-1,-1,-1,-1,-1,-1,-1
265,武则天-凤凰涅槃,-1,self,0,0,0,265,1,0,0,-1,-1,-1,-1,-1,-1,-1
266,武则天-凤凰涅槃,-1,self,0,0,0,266,1,0,0,-1,-1,-1,-1,-1,-1,-1
267,武则天-凤凰涅槃,-1,self,0,0,0,267,1,0,0,-1,-1,-1,-1,-1,-1,-1
268,纣王-刀火如龙,-1,self,1,0,0,268,1,0,0,-1,-1,-1,-1,-1,-1,-1
269,纣王-刀火如龙,-1,self,1,0,0,269,1,0,0,-1,-1,-1,-1,-1,-1,-1
270,纣王-刀火如龙,-1,self,1,0,0,270,1,0,0,-1,-1,-1,-1,-1,-1,-1
271,纣王-刀火如龙,-1,self,1,0,0,271,1,0,0,-1,-1,-1,-1,-1,-1,-1
272,纣王-刀火如龙,-1,self,1,0,0,272,1,0,0,-1,-1,-1,-1,-1,-1,-1
273,姜子牙-呼风唤雨1,-1,self,1,2,0,273,1,0,0,-1,-1,-1,-1,-1,-1,-1
274,姜子牙-呼风唤雨2,-1,self,1,2,0,274,1,0,0,-1,-1,-1,-1,-1,-1,-1
275,姜子牙-呼风唤雨3,-1,self,1,2,0,275,1,0,0,-1,-1,-1,-1,-1,-1,-1
276,姜子牙-呼风唤雨4,-1,self,1,2,0,276,1,0,0,-1,-1,-1,-1,-1,-1,-1
277,姜子牙-呼风唤雨5,-1,self,1,2,0,277,1,0,0,-1,-1,-1,-1,-1,-1,-1
278,姜子牙-呼风唤雨1,-1,self,2,0,0,278,5,0,0,BulletEmitScript_TargetRandom,2,2,-1,-1,-1,-1
279,姜子牙-呼风唤雨2,-1,self,2,0,0,279,5,0,0,BulletEmitScript_TargetRandom,2,2,-1,-1,-1,-1
280,姜子牙-呼风唤雨3,-1,self,2,0,0,280,5,0,0,BulletEmitScript_TargetRandom,2,2,-1,-1,-1,-1
281,姜子牙-呼风唤雨4,-1,self,2,0,0,281,5,0,0,BulletEmitScript_TargetRandom,2,2,-1,-1,-1,-1
282,姜子牙-呼风唤雨5,-1,self,2,0,0,282,5,0,0,BulletEmitScript_TargetRandom,2,2,-1,-1,-1,-1
283,闻仲-土石飞天,-1,self,3,0,0,283,6,1,3,BulletEmitScript_SelfRandom,3,3,-1,-1,-1,-1
284,闻仲-土石飞天,-1,self,3,0,0,284,6,1,3,BulletEmitScript_SelfRandom,3,3,-1,-1,-1,-1
285,闻仲-土石飞天,-1,self,3,0,0,285,6,1,3,BulletEmitScript_SelfRandom,3,3,-1,-1,-1,-1
286,闻仲-土石飞天,-1,self,3,0,0,286,6,1,3,BulletEmitScript_SelfRandom,3,3,-1,-1,-1,-1
287,闻仲-土石飞天,-1,self,3,0,0,287,6,1,3,BulletEmitScript_SelfRandom,3,3,-1,-1,-1,-1
288,西施-沙暴,-1,self,2,0,0,288,6,1,3,BulletEmitScript_SelfRandom,2,1,-1,-1,-1,-1
289,西施-沙暴,-1,self,2,0,0,289,6,1,3,BulletEmitScript_SelfRandom,2,1,-1,-1,-1,-1
290,西施-沙暴,-1,self,2,0,0,290,6,1,3,BulletEmitScript_SelfRandom,2,1,-1,-1,-1,-1
291,西施-沙暴,-1,self,2,0,0,291,6,1,3,BulletEmitScript_SelfRandom,2,1,-1,-1,-1,-1
292,西施-沙暴,-1,self,2,0,0,292,6,1,3,BulletEmitScript_SelfRandom,2,1,-1,-1,-1,-1
293,雷震子-普通攻击,-1,self,0,0,0,293,1,0,0,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
294,雷震子-普通攻击,-1,self,0,0,0,294,1,0,0,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
295,雷震子-普通攻击,-1,self,0,0,0,295,1,0,0,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
296,雷震子-普通攻击,-1,self,0,0,0,296,1,0,0,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
297,雷震子-普通攻击,-1,self,0,0,0,297,1,0,0,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
298,鲁班-燃烧弹,-1,self,0,0,0,298,2,1,1,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
299,鲁班-燃烧弹,-1,self,0,0,0,299,2,1,1,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
300,鲁班-燃烧弹,-1,self,0,0,0,300,2,1,1,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
301,鲁班-燃烧弹,-1,self,0,0,0,301,2,1,1,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
302,鲁班-燃烧弹,-1,self,0,0,0,302,2,1,1,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
303,鲁班-燃烧弹-持续,-1,self,0,0,0,303,1,0,0,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
304,鲁班-燃烧弹-持续,-1,self,0,0,0,304,1,0,0,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
305,鲁班-燃烧弹-持续,-1,self,0,0,0,305,1,0,0,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
306,鲁班-燃烧弹-持续,-1,self,0,0,0,306,1,0,0,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
307,鲁班-燃烧弹-持续,-1,self,0,0,0,307,1,0,0,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
308,鲁班-木桶爆炸,-1,self,4,0,1,308,1,0,0,-1,-1,-1,-1,-1,-1,-1
309,鲁班-木桶爆炸,-1,self,4,0,1,309,1,0,0,-1,-1,-1,-1,-1,-1,-1
310,鲁班-木桶爆炸,-1,self,4,0,1,310,1,0,0,-1,-1,-1,-1,-1,-1,-1
311,鲁班-木桶爆炸,-1,self,4,0,1,311,1,0,0,-1,-1,-1,-1,-1,-1,-1
312,鲁班-木桶爆炸,-1,self,4,0,1,312,1,0,0,-1,-1,-1,-1,-1,-1,-1
313,鲁班-木桶爆炸,-1,self,0,0,0,313,1,0,0,-1,-1,-1,-1,-1,-1,-1
#副本用子弹,,,,,,,,,,,,,,,,,
1000,落地_落雷,-1,self,5,0,0,1000,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1001,落地_冰刺,-1,self,5,0,0,1001,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1002,落地_冰环,-1,self,5,0,0,1002,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1003,落地_冰雨,-1,self,5,0,0,1003,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1004,落地_大冰锥,-1,self,5,0,0,1004,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1005,落地,-1,self,5,0,0,1005,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1006,落地_大落雷,-1,self,5,0,0,1006,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1007,落地_雷球,-1,self,5,0,0,1007,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1008,落地_龙卷风,-1,self,5,0,0,1008,3,0,0,BulletEmitScript_MultiShot,120,-1,-1,-1,-1,-1
1009,落地_群雷,-1,self,5,0,0,1009,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1010,落地_小旋风,-1,self,5,0,0,1010,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1011,落地_大爆炸,-1,self,5,0,0,1011,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1012,落地_大火球,-1,self,5,0,0,1012,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1013,落地_地火,-1,self,5,0,0,1013,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1014,落地_火焰喷发,-1,self,5,0,0,1014,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1015,落地_火雨,-1,self,5,0,0,1015,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1016,落地_小爆炸,-1,self,5,0,0,1016,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1017,落地_剑雨,-1,self,5,0,0,1017,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1018,落地_崩地,-1,self,5,0,0,1018,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1019,落地_毒水潭,-1,self,5,0,0,1019,4,1,1,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
1020,落地_流沙,-1,self,5,0,0,1020,4,1,1,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
1021,落地_落石,-1,self,5,0,0,1021,4,1,1,BulletEmitScript_SelfRandom,6,-1,-1,-1,-1,-1
1500,飞行_电光,-1,self,0,2,0,1500,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1501,飞行_电球,-1,self,0,2,0,1501,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1502,飞行_风刃,-1,self,0,2,0,1502,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1503,飞行_落雷,-1,self,0,2,0,1503,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1504,飞行_大火弹,-1,self,0,2,0,1504,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1505,飞行_火弹,-1,self,0,2,0,1505,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1506,飞行_火球,-1,self,0,2,0,1506,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1507,飞行_火刃,-1,self,0,2,0,1507,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1508,飞行_冰箭,-1,self,2,2,0,1508,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1509,飞行_冰箭02,-1,self,2,2,0,1509,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1510,飞行_大剑刃,-1,self,0,2,0,1510,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1511,飞行_大剑矢,-1,self,0,2,0,1511,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1512,飞行_凤凰,-1,self,0,2,0,1512,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1513,飞行_火箭,-1,self,0,2,0,1513,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1514,飞行_火箭02,-1,self,0,2,0,1514,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1515,飞行_剑刃01,-1,self,0,2,0,1515,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1516,飞行_剑刃02,-1,self,0,2,0,1516,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1517,飞行_箭矢,-1,self,0,2,0,1510,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
1518,飞行_飞石,-1,self,0,2,0,1511,1,0,0,BulletEmitScript_ShotTarget,-1,-1,-1,-1,-1,-1
#,,,,,,,,,,,,,,,,,
100000,目标点随机,-1,self,0,0,0,100000,25,1,5,BulletEmitScript_TargetRandom,5,2.5,-1,-1,-1,-1
100001,目标点直接,-1,self,0,0,0,100001,1,-1,0,BulletEmitScript_TargetPos,-1,-1,-1,-1,-1,-1
100002,自身直线,-1,self,0,0,0,100000,5,0.5,0,BulletEmitScript_ForwardLine,3,-1,-1,-1,-1,-1
100003,自身弧线,-1,self,0,0,0,100000,80,1,14,BulletEmitScript_ForwardArc,5,30,-1,-1,-1,-1
100004,自身弧线,-1,self,0,0,0,100000,25,1,5,BulletEmitScript_SelfRandom,10,4,-1,-1,-1,-1
