"Id
===
Id
===
int-c","名称
===
Name
===
string-c","技能ID0
===
SkillID0
===
int-c","技能ID1
===
SkillID1
===
int-c","技能ID2
===
SkillID2
===
int-c","技能ID3
===
SkillID3
===
int-c","技能ID4
===
SkillID4
===
int-c","技能ID5
===
SkillID5
===
int-c","技能ID6
===
SkillID6
===
int-c","技能ID7
===
SkillID7
===
int-c","技能ID8
===
SkillID8
===
int-c","技能ID9
===
SkillID9
===
int-c","技能ID10
===
SkillID10
===
int-c","技能ID11
===
SkillID11
===
int-c","技能ID12
===
SkillID12
===
int-c","技能ID13
===
SkillID13
===
int-c","技能ID14
===
SkillID14
===
int-c","技能ID15
===
SkillID15
===
int-c","技能ID16
===
SkillID16
===
int-c","技能ID17
===
SkillID17
===
int-c","技能ID18
===
SkillID18
===
int-c","技能ID19
===
SkillID19
===
int-c"
1011002,狄仁杰,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011003,狄仁杰,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011004,狄仁杰,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011100,廉颇,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011101,廉颇,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011102,廉颇,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011103,廉颇,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011104,廉颇,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011200,赵云,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011201,赵云,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011202,赵云,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011203,赵云,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011204,赵云,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011300,曹操,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011301,曹操,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011302,曹操,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011303,曹操,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011304,曹操,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011400,荆轲,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011401,荆轲,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011402,荆轲,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011403,荆轲,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1011404,荆轲,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#女性武将,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020000,妲己,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020001,妲己,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020002,妲己,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020003,妲己,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020004,妲己,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020100,貂蝉,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020101,貂蝉,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020102,貂蝉,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020103,貂蝉,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020104,貂蝉,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020200,西施,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020201,西施,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020202,西施,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020203,西施,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020204,西施,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020300,杨贵妃,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020301,杨贵妃,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020302,杨贵妃,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020303,杨贵妃,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020304,杨贵妃,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
#,,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020400,武则天,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020401,武则天,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020402,武则天,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020403,武则天,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1020404,武则天,0,0,1,0,0,2,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
