"Id
===
Id
===
int-cs","关键字符串
===
Key
===
string-c","文本
===
Value
===
string-c",
60040,ERR_PRE_DUNGEON_NOT_COMPLETED,前置副本未完成,
60041,ERR_STAGE_NOT_OPEN,此关卡未开放,
60042,ERR_STAGE_MAX_PLAY_PER_DAT_EXCED,此关卡每日上限到了,
60043,ERR_NAME_TOO_LONG,名称太长,
60044,ERR_ALREADY_IN_BLACKLIST,已经在黑名单中,
60045,ERR_BID_MAX,出价已经最高,
60046,ERR_BATTLE_NOT_EXIST,战斗录像不存在,
60047,ERR_HIS_FRIEND_NUMBER_EXCEED,对方好友以达上限,
60048,ERR_NOT_ENOUGH_LEVEL,等级不足,
60049,ERR_OTHER_ONE_LOGIN,在其他地方登陆了,
60050,ERR_UPGRADE_SKILL_FAILED,技能升级失败,
60051,ERR_ENHANCE_EQUIT_FAILED,强化装备失败,
60052,ERR_EXCHANGE_NOT_EXIST,交易不存在,
60053,ERR_EXCHANGE_FAILED,交易失败,
60054,ERR_MARRY_SAME_GENDER,同性不能结婚,
60055,ERR_MARRY_NOT_SINGLE,已经非单身,
60056,ERR_MARRY_SINGLE,单身不能离婚,
60057,ERR_MARRY_CAN_NOT_DELETE_PARTNER,不能直接删除夫妻,
60058,ERR_MARRY_CAN_NOT_BLACK_PARTNER,不能直接拉黑夫妻,
60059,ERR_CAN_NOT_BUY_AP_TODAY,今天已经不能购买体力,
60060,ERR_CAN_NOT_USE_NAME,该角色名不能使用,
60061,ERR_ITEM_CAN_NOT_USE,物品不能使用,
60062,ERR_CAN_NOT_SELL_MORE,不能出售更多的物品,
60063,ERR_AWARD_HAS_TAKEN,奖励已经领取,
60064,ERR_USER_NAME_IN_USE,账户名已存在,
60065,ERR_SKILL_EXIST,技能已经学过了,
60066,ERR_PET_CANNOT_DISMEMBER,宠物不可分解,
60067,ERR_SERVER_FULL,服务器人数上限,
60068,ERR_PET_LEVEL_TOO_HIGH,宠物等级太高，超过角色太多,
60069,ERR_NOT_OPEN,暂未开放,
60070,ERR_STAGE_NOT_COMPLETED,关卡未完成,
60071,ERR_ACTIVITY_NOT_START,活动未开启,
60072,ERR_AP_FULL,体力已满,
60073,ERR_ACTIVITY_AWARD_ACQUIRED,奖励已经领取,
60074,ERR_COURAGE_MAX,鼓舞最大了,
60075,ERR_PLAYED_TODAY,今天已经玩过了,
60076,ERR_NOT_IN_WORLDBOSS_MODE,没进入世界boss,
60077,ERR_ALREADY_INVITEE,已经邀请过了,
60078,ERR_CAN_NOT_INVITE_SELF,不能邀请自己,
60079,ERR_FRIEND_REQUEST_SEND,好友邀请已经发送,
60080,ERR_INDENTIFYCODE_ERROR,验证码错误,
60081,ERR_COOL_DOWN,正在Cooldown,
60082,ERR_ITEM_MAX_COUNT_EXCEED,该物品达到携带上限,
60083,ERR_ITEM_EXCHANGE_TOPLIMIT,该物每日兑换次数达上限,
60084,ERR_MARRY_OTHERNOT_SINGLE,对方是已婚人士,
60085,ERR_NOT_FIND_UPGRAD_RULE_ID,不能找到升级规则ID,
60086,ERR_EQUIP_CAN_NOT_UPGRADE,装备不能升级,
60087,ERR_EQUIP_RESTRICTED,装备受到限制,
60088,ERR_EQUIP_IN_THE_BODY,装备在某人身上,
60089,ERR_EQUIP_LOCK,装备被锁,
60090,ERR_EQUIP_DO_NOT_EXIST,装备不存在,
60091,ERR_EQUIP_HAS_DIAMONS,装备上有宝石不能销毁,
60092,ERR_TASK_NOT_EXIST,任务不存在,
60093,ERR_TASK_NOT_FINISH,任务没有完成,
60094,ERR_CAN_NOT_REFRESH_SHOP_TODAY,今日商店的刷新次数已达上限,
60095,ERR_CAN_NOT_CHANGE_PROFESSION,不能切换职业,
60096,ERR_LEAGUE_NAME_EMPTY,联盟名字不能为空,
60097,ERR_LEAGUE_NAME_LENGTH_LIMIT,联盟名字不能超过6个汉字,
60098,ERR_LEAGUE_DECLARATION_EMPTY,联盟宣言不能为空,
60099,ERR_LEAGUE_DECLARATION_LENGTH_LIMIT,联盟宣言不能超过25个汉字,
60100,ERR_LEAGUE_SAME_NAME_EXIST,已存在相同名字的联盟,
60101,ERR_LEAGUE_NOT_EXIST,联盟不存在,
60102,ERR_LEAGUE_IS_LEAGUE_MEMBER,您已经是联盟成员,
60103,ERR_LEAGUE_POST_LIMIT,您的联盟权限不够,
60104,ERR_LEAGUE_APPLICANTS_LIMIT,您申请的联盟数量达到上限,
60105,ERR_LAEGUE_ISFULL,联盟成员数量已满,
60106,ERR_LEAGUE_IS_APPLICANT,已经在申请列表中,
60107,ERR_LEAGUE_NOT_MEMBER,不是联盟成员,
60108,ERR_LEAGUE_CANNOT_KICKSELF,不能把自己踢出联盟,
60109,ERR_LEAGUE_POST_FULL,职位人员已满,
60110,ERR_LEAGUE_DONATE_MONEY_FULL,联盟捐献的银两超上限,
60111,ERR_LEAGUE_DONATE_GOLD_FULL,联盟捐献的黄金超上限,
60112,ERR_LEAGUE_DONATE_ILLEGAL_SCIENCE,您要捐献的的联盟科技不存在,
60113,ERR_LEAGUE_DONATE_MAX_LEVEL_ERR,该联盟科技已是最高级,
60114,ERR_LEAGUE_ISNOT_APPLICANT,不在申请列表中,
60115,ERR_NOT_ENOUGH_ACTION_EXP,经验不足,
60116,ERR_SYNTHETIC_FAILURE,合成失败,
60117,ERR_ACCOUNT_FREEZED,账户冻结,
60118,ERR_ACCOUNT_NOT_EXIST,账户不存在,
60119,ERR_NO_ACCESS,无权限,
60120,ERR_ACCOUNT_EXPIRED,账户过期,
60121,ERR_UNKNOWN,未知错误,
60122,ERR_PAY_SUCCESS,支付成功,
60123,ERR_PAY_FAIL,支付失败,
60124,ERR_PAY_CANCEL,支付取消,
60125,ERR_NET,网络错误,
60126,ERR_PAY_UNFINISH,支付未完成,
60127,ERR_NET_TRY_AGAIN,网络错误，请重试,
60128,ERR_INIT_PLUGIN_FAIL,初始化插件失败,
60129,ERR_DATA,数据格式错误,
60130,ERR_DATA_EMPTY,数据格式不得为空,
#登录,,,
100000,CN_LOGIN_ERROR,用户名或密码错误,
100100,CN_CHARACTER_NAME_EMPTY,请输入角色名称,
100101,CN_CHARACTER_NAME_REPEAT,角色名称重复,
100102,CN_CHARACTER_NOT_SELECT_IMAGE_ITEM,请选择角色,
100103,CN_CHARACTER_NAME_IS_USEE,该角色名已经被占用，请输入其他角色名,
100104,CN_CHARACTER_NAME_NOT_USEE,该角色名不能使用,
100105,CN_CHARACTER_NAME_DESC_1,角色名太长，不能超过{0}字符,
100106,CN_CHARACTER_NAME_DESC_2,角色名太长， 请更换后尝试,
100107,CN_CHARACTER_NAME_DESC_3,参数错误，请重新尝试,
100108,CN_CHARACTER_NAME_DESC_4,该用户，已经创建过角色,
100109,CN_CHARACTER_NAME_DESC_5,创建角色失败，错误码：{0},
100110,CN_LOGIN_SUCCESS,登陆成功,
100111,CN_LOGIN_FAIL,登陆失败,
100112,CN_LOGIN_CANCEL,登陆取消,
100113,CN_LOGINOUT_SUCCESS,登出成功,
100114,CN_LOGINOUT_FAIL,登出失败,
100115,CN_LOGIN_NO_NEED,不需要再次登陆,
#任务界面,,,
100200,TASK_STR_NAME_00,捕捉{0},
100201,TASK_STR_NAME_01,杀死{0},
100202,TASK_STR_NAME_02,杀死{0},
100203,TASK_STR_NAME_03,衣服强化,
100204,TASK_STR_NAME_04,帽子强化,
100205,TASK_STR_NAME_05,武器强化,
100206,TASK_STR_NAME_06,宠物升级,
100207,TASK_STR_NAME_07,升级猪脚技能,
100208,TASK_STR_NAME_08,升级宠物技能,
100209,TASK_STR_NAME_09,竞技场挑战,
100210,TASK_STR_NAME_10,竞技场复仇,
100211,TASK_STR_NAME_11,勋章兑奖,
100212,TASK_STR_NAME_12,征服点兑奖,
100213,TASK_ICON_03,image_tx-boss-shaheshang,
100214,TASK_ICON_04,image_tx-boss-shaheshang,
100215,TASK_ICON_05,image_tx-boss-shaheshang,
100216,TASK_ICON_06,image_tx-boss-shaheshang,
100217,TASK_ICON_07,image_tx-boss-shaheshang,
100218,TASK_ICON_08,image_tx-boss-shaheshang,
100219,TASK_ICON_09,image_tx-boss-shaheshang,
100220,TASK_ICON_10,image_tx-boss-shaheshang,
100221,TASK_ICON_11,image_tx-boss-shaheshang,
100222,TASK_ICON_12,image_tx-boss-shaheshang,
#背包分组,100407,Bag_Item_Type_Count,5
100408,Bag_Item_Type_0,全部物品,
100409,Bag_Item_Type_1,宠物碎片,
100410,Bag_Item_Type_2,法宝碎片,
100411,Bag_Item_Type_3,宝石,
100412,Bag_Item_Type_4,合成材料,
100413,Bag_Item_Type_5,其他,
#创建角色,,,
100500,CN_Character_Description_0,人族：三界中均衡的产物，凡间的居民。擅长用刀剑攻击敌人，同时也很善于守卫家园，保护同伴。,
100501,CN_Character_Description_1,人族：三界中均衡的产物，凡间的居民。擅长用刀剑攻击敌人，同时也很善于守卫家园，保护同伴。,
100502,CN_Character_Description_2,魔族：三界之中浊气的化身，拥有魔性的精灵。擅长用法术攻击敌人，或者用妖法折磨、控制对手。,
100503,CN_Character_Description_3,魔族：三界之中浊气的化身，拥有魔性的精灵。擅长用法术攻击敌人，或者用妖法折磨、控制对手。,
100504,CN_Character_Description_4,仙族：三界中清气所凝聚的精灵，最接近神佛的存在。擅长用圣洁的仙术帮助同伴，抑或用灵力消灭邪魔。,
100505,CN_Character_Description_5,仙族：三界中清气所凝聚的精灵，最接近神佛的存在。擅长用圣洁的仙术帮助同伴，抑或用灵力消灭邪魔。,
100506,CN_Character_Name_Null,请输入角色名称,
100507,CN_Character_0,x_nanren,
100508,CN_Character_1,x_nvren,
100509,CN_Character_2,x_nanmo,
100510,CN_Character_3,x_nvmo,
100511,CN_Character_4,x_nanxian,
100512,CN_Character_5,x_nvxian,
100513,CN_CHARACTER_NOT_SELECT,请先选择游戏角色,
100514,CN_CHARACTER_NAME_TOO_LONG,输入的字符过长,
#宠物,,,
100600,Pet_Evolve_Material_Not_Enough,材料不足,
100601,Pet_Evolve_Level_Not_Reached,等级不足,
100602,Pet_Evolve_Can_Evolve,可突破,
100603,Pet_Evolve_Succeeded,宠物突破成功！,
100604,Pet_Evolve_Failed,宠物突破失败：{0},
100605,Pet_Upgrade_Succeeded,宠物升级成功！,
100606,Pet_Upgrade_Failed,宠物升级失败！,
100607,PET_HAS_MAX_LEVEL,该武将已经达到最大的等级！！！,
100608,PET_HAS_NOT_UPGRAD_ID,该武将没有找到对应的强化规则:{0}！！！,
100609,PET_UPGRADE_NOT_ENOUGH_MONEY,您的金币不足，不能升级该武将！！！,
100610,PET_UPGRADE_NO_SELECTED_TARGET_PET,您还没有选择需要升级的武将！！！,
100611,PET_UPGRADE_NO_SELECTED_EAT_PET,您还没有选择被吞噬的武将！！！,
100612,PET_EVOLVE_ONLY_EAT_ONE_PET,只能吞噬一名武将！！！,
100613,PET_EVOLVE_NO_SELECTED_EAT_PET,您还没有选择被吞噬的武将！！！,
100614,PET_EVOLVE_TARGET_EAT_PET_IS_SAME,目标武将和被吞噬的武将，不能是同一个武将！！！,
100615,PET_EVOLVE_TARGET_PET_IS_EMPTY,目标武将不能是空！！！,
100616,PET_EVOLVE_EAT_CNT_HAS_MAX,武将吞噬次数已达上限,不能突破！！！
100617,PET_EVOLVE_QUALITY_LEVEL_NOT_EQUAL,武将品质或者突破等级，不符！！！,
100618,PET_EVOLVE_NO_SELECTED,请选择需要突破的武将！！！,
100619,PET_UPGRADE_NO_SELECTED,请选择需要升级的武将！！！,
100620,PET_EVOLVE_SELECTED_MORE_PET,您只能选择一个需要突破的武将！！！,
100621,PET_UPGRADE_SELECTED_MORE_PET,您只能选择一个需要升级的武将！！！,
100622,PET_CONFIG_FAILURE,配置武将失败！！！,
100623,PET_CONFIG_FAILURE_LEVEL_TOO_LOW,玩家等级太低不能配置更多的武将！！！,
100624,PET_CONFIG_FAILURE_INDEX_NOT_PET,这个位置没有装配宠物！！！,
100625,PET_CONFIG_FAILURE_NOT_ALL_PETS,所有位置均没有配置宠物！！！,
100626,PET_CONFIG_FAILURE_NOT_SELECTED,配置武将前需在右侧的武将列表中选择一个武将！！！,
100627,PET_NUMBER_MAX,你的数量已经到达最大数量,
100628,PET_NUMBER,武将数量:{0},
100629,PET_MATERIAL_INCLUDE_HIGH_QUALITY,包含了高品质卡牌,
100630,PET_MATERIAL_INCLUDE_HIGH_LEVEL,包含了高等级卡牌,
100631,PET_MATERIAL_NUMBER_SELECTED,已选武将数量:{0},
100632,PET_EVOLVE_MAX_LEVEL_UPTO,等级上限已经提高到:{0},
100633,PET_MATERIAL_NUMBER_SELECTED_MAX,已经是最大选项数量,
100634,PET_UPGRADE_LEVEL_LIMIT_5,武将伙伴等级最好不能超过主角5级,
100635,PET_UPGRADE_QUALITY_DIALOG_TEXT,是否要提升品质,
100636,PET_UPGRADE_STARLV_DIALOG_TEXT,是否要提升星级,
100637,PET_UPGRADE_QUALITY_MAX,武将已达最高品质,
100638,PET_TYPE_0_ENABLED,icon_fire_enabled,
100639,PET_TYPE_1_ENABLED,icon_wind_enabled,
100640,PET_TYPE_2_ENABLED,icon_water_enabled,
100641,PET_TYPE_3_ENABLED,icon_ground_enabled,
100642,PET_TYPE_0_DISABLED,icon_fire_disabled,
100643,PET_TYPE_1_DISABLED,icon_wind_disabled,
100644,PET_TYPE_2_DISABLED,icon_water_disabled,
100645,PET_TYPE_3_DISABLED,icon_ground_disabled,
100646,PET_QUALITY_STR,{0}星,
100647,PET_LV_OVER_MAINCHAR,达到等级上限，武将等级不可超过主角等级,
100648,PET_QUALITY_CLICK,点击提升品质,
100649,PET_FIGHT_ACTIVE,出战,
100650,PET_FIGHT_READY,备战,
100651,PET_IMAGE_BG,ui_icon_card_frame,
#连续登录奖励,,,
100700,AWARD_1,15000;30;200,
100701,AWARD_2,28000;75;200,
100702,AWARD_3,35000;120;200,
100703,CN_Award_ErrOK,成功获取奖励,
100704,CN_Award_ErrHasTaken,已经领取过奖励了,
100705,CN_Award_Description,金币：{0}  钻石：{1}  桃心：{2},
#邀请,,,
100800,CN_Invitee_Count,邀请{0}名玩家,
100801,CN_Invitee_Level,等级达到{0}级,
100802,CN_Invitee_Rate,进度：{0}/{1},
100803,CN_Invitee_Alert_1,礼物已经领取过,
100804,InviteeCount,25,
100805,Invitee_0,1;20;55021,
100806,Invitee_1,1;30;55021,
100807,Invitee_2,1;40;55021,
100808,Invitee_3,1;50;55021,
100809,Invitee_4,1;60;55021,
100810,Invitee_5,2;20;55021,
100811,Invitee_6,2;30;55021,
100812,Invitee_7,2;40;55021,
100813,Invitee_8,2;50;55021,
100814,Invitee_9,2;60;55021,
100815,Invitee_10,3;20;55021,
100816,Invitee_11,3;30;55021,
100817,Invitee_12,3;40;55021,
100818,Invitee_13,3;50;55021,
100819,Invitee_14,3;60;55021,
100820,Invitee_15,4;20;55021,
100821,Invitee_16,4;30;55021,
100822,Invitee_17,4;40;55021,
100823,Invitee_18,4;50;55021,
100824,Invitee_19,4;60;55021,
100825,Invitee_20,5;20;55021,
100826,Invitee_21,5;30;55021,
100827,Invitee_22,5;40;55021,
100828,Invitee_23,5;50;55021,
100829,Invitee_24,5;60;55021,
100830,Invitee_Item_Id_55021,玉兔;2;TX-boss-YuTu;成功获得紫色玉兔一只,
100831,CN_Invitee_USR_NOT_EXIST,您输入的邀请码不存在!,
100832,CN_Already_Invitee,只能填写一次哦~,
100833,CN_Invitee_Error,未知错误,
100834,CN_Invitee_Type_Error,邀请码格式不正确,
100835,CN_Invitee_Award,成功获得紫色玉兔一只,
#属性名称,,,
100900,ATTR_NAME_0,攻击力,
100901,ATTR_NAME_1,防御力,
100902,ATTR_NAME_2,生命值,
100903,ATTR_NAME_3,魔法值,
100904,ATTR_NAME_4,土属性攻击,
100905,ATTR_NAME_5,水属性攻击,
100906,ATTR_NAME_6,火属性攻击,
100907,ATTR_NAME_7,风属性攻击,
100908,ATTR_NAME_8,土属性防御,
100909,ATTR_NAME_9,水属性防御,
100910,ATTR_NAME_10,火属性防御,
100911,ATTR_NAME_11,风属性防御,
100912,ATTR_NAME_12,破击能力,
100913,ATTR_NAME_13,暴击能力,
100914,ATTR_NAME_14,韧性能力,
100915,ATTR_NAME_15,格挡能力,
100916,ATTR_NAME_16,生命恢复,
100917,ATTR_NAME_17,魔法恢复,
100918,ATTR_NAME_18,移动速度,
100919,ATTR_NAME_19,幸运值,
100920,ATTR_NAME_20,无双值,
100921,ATTR_NAME_21,无双恢复,
100922,ATTR_NAME_22,攻击速度,
100923,ATTR_NAME_23,体力值,
100924,ATTR_NAME_24,攻击距离,
100925,ATTR_NAME_25,额外攻击,
100926,ATTR_NAME_26,伤害减免,
100927,ATTR_NAME_27,属性预留,
100928,ATTR_NAME_28,属性预留,
100929,ATTR_NAME_29,属性预留,
100930,ATTR_NAME_30,属性预留,
100931,ATTR_NAME_31,属性预留,
100932,ATTR_NAME_32,等级:,
100933,ATTR_NAME_33_EASY,土攻,
100934,ATTR_NAME_34_EASY,水攻,
100935,ATTR_NAME_35_EASY,火攻,
100936,ATTR_NAME_36_EASY,风攻,
100937,ATTR_NAME_37_EASY,土防,
100938,ATTR_NAME_38_EASY,水防,
100939,ATTR_NAME_39_EASY,火防,
100940,ATTR_NAME_40_EASY,风防,
100941,ATTR_NAME_41,[faf35d][b]☆[/b][-],
100942,ATTR_NAME_42,[faf35d][b]★[/b][-],
100943,ATTR_NAME_43,[faf35d][b]★☆[/b][-],
100944,ATTR_NAME_44,[faf35d][b]★★[/b][-],
100945,ATTR_NAME_45,[faf35d][b]★★☆[/b][-],
100946,ATTR_NAME_46,[faf35d][b]★★★[/b][-],
100947,ATTR_NAME_47,[faf35d][b]★★★☆[/b][-],
100948,ATTR_NAME_48,[faf35d][b]★★★★[/b][-],
100949,ATTR_NAME_49,[faf35d][b]★★★★☆[/b][-],
100950,ATTR_NAME_50,[faf35d][b]★★★★★[/b][-],
100951,ATTR_NAME_51,没星,
100952,ATTR_NAME_52_EASY,生命,
100953,ATTR_NAME_53_EASY,攻速,
100954,ATTR_NAME_54_EASY,攻击,
100955,ATTR_NAME_55_EASY,防御,
100956,ATTR_NAME_56_EASY,破击,
100957,ATTR_NAME_57_EASY,暴击,
100958,ATTR_NAME_58_EASY,韧性,
100959,ATTR_NAME_59_EASY,格挡,
#装备类型对应名称,,,
101000,CN_EquipType_0,全部,
101001,CN_EquipType_1,武器,
101002,CN_EquipType_2,衣服,
101003,CN_EquipType_3,项链,
101004,CN_EquipType_4,戒指,
101005,CN_EquipType_5,鞋子,
#武器类型对应名称,,,
101006,CN_WeaponType_0,重型武器,
101007,CN_WeaponType_1,单手武器,
101008,CN_WeaponType_2,长柄武器,
101009,CN_WeaponType_3,快速武器,
#装备提示,,,
101010,CN_EquipAlert_0,主角或武将等级不足{0}级，无法穿戴,
101011,CN_EquipAlert_1,装备已经升到最高级,
101012,CN_EquipAlert_2,装备升级失败,
101013,CN_EquipAlert_3,未选择装备,
101014,CN_EquipAlert_4,升级成功,
101015,CN_EquipAlert_5,金币不足：需要{0} 剩余{1},
101016,CN_EquipAlert_6,选择装备数为:{0}，不能超过上限：{1},
#装备数量上限,,,
101099,EquipMaxCount,999,
#创建角色选武器,,,
101100,ArmamentCount,3,
101101,Arm_0,30000,
101102,Arm_1,30001,
101103,Arm_2,30002,
#装备组件,,,
101201,Equip_Quality_Name,品质:{0},
101202,Equip_Enchance_Name, + {0},
101203,Equip_Require_Level_Name,需求等级:{0},
101204,Equip_Detail_Format_0,无宝石附加,
101205,Equip_Detail_Format_1,附加{0}: {1}%,
101206,Equip_Name_Quality_clr_1,[c2c2c2]{0}[-],
101207,Equip_Name_Quality_clr_2,[70da5f]{0}[-],
101208,Equip_Name_Quality_clr_3,[6cdce3]{0}[-],
101209,Equip_Name_Quality_clr_4,[db86e5]{0}[-],
101210,Equip_Name_Quality_clr_5,[fb9926]{0}[-],
101211,Equip_Enchance_Attr_Change_Style,[000000]{0}[-]->[008000]{1},
101212,Equip_Enchance_Attr_Change_Style_Percent,[000000]{0}%[-]->[008000]{1}%,
101213,Equip_Enchance_Level,{0} / [ffde00] {1}[-],
101214,Equip_Enchance_Attr_Tatle,[412e20] {0}[-],
101215,Equip_Enchance_Attr_up,{0}[78ff0d]+{1}[-],
101216,Equip_Enchance_Attr,{0},
101217,Equip_Fighting_Capacity, +{0},
