"Id
===
Id
===
int-c","Ãû³Æ
===
Name
===
string-c","ÃèÊö
===
Desc
===
string-c","Í¼±ê
===
Icon
===
string-c","²»ÏÔÊ¾BUFF:-1;Buff:0;Debuff:1
===
BuffShowType
===
int-c","ÌØÐ§
===
Effect
===
int-c","ÓÑºÃ¶ÈÀàÐÍ
===
FriendType
===
int-c","»¥³âÀàÐÍ
===
Conflict
===
int-c","ÓÅÏÈ¼¶
===
Priority
===
int-c","·ÖÀà
===
LogicClass
===
int-c","³ÖÐøÊ±¼ä£¨Ãë£©
===
LastTime
===
float-c","Ð§¹û½Å±¾
===
ImpactScript
===
string-c","Ð§¹û²ÎÊý0
===
ParamValues0
===
string-c","Ð§¹û²ÎÊý1
===
ParamValues1
===
string-c","Ð§¹û²ÎÊý2
===
ParamValues2
===
string-c","Ð§¹û²ÎÊý3
===
ParamValues3
===
string-c","Ð§¹û²ÎÊý4
===
ParamValues4
===
string-c","Ð§¹û²ÎÊý5
===
ParamValues5
===
string-c","Ð§¹û²ÎÊý6
===
ParamValues6
===
string-c","Ð§¹û²ÎÊý7
===
ParamValues7
===
string-c","Ð§¹û²ÎÊý8
===
ParamValues8
===
string-c","Ð§¹û²ÎÊý9
===
ParamValues9
===
string-c"
10062,ÎäÔòÌì-ÉúÃü¹â»·,,,0,80086,0,10059,4,10059,36000,SkillImpactScript_Interval,3,40,-1,84303000,-1,-1,-1,-1,-1,-1
10063,ÎäÔòÌì-ÉúÃü¹â»·,,,0,80086,0,10059,5,10059,36000,SkillImpactScript_Interval,3,40,-1,84304000,-1,-1,-1,-1,-1,-1
10064,ÎäÔòÌì-È¼ÉÕÇûÌå,,,1,8440001,1,10064,7,10064,10,SkillImpactScript_ModifyHP,-0.02,0,0,-1,-1,-1,-1,-1,-1,-1
10065,ÎäÔòÌì-È¼ÉÕÇûÌå,,,1,8440001,1,10064,8,10064,10,SkillImpactScript_ModifyHP,-0.018,0,0,-1,-1,-1,-1,-1,-1,-1
10066,ÎäÔòÌì-È¼ÉÕÇûÌå,,,1,8440001,1,10064,9,10064,10,SkillImpactScript_ModifyHP,-0.015,0,0,-1,-1,-1,-1,-1,-1,-1
10067,ÎäÔòÌì-È¼ÉÕÇûÌå,,,1,8440001,1,10064,10,10064,10,SkillImpactScript_ModifyHP,-0.012,0,0,-1,-1,-1,-1,-1,-1,-1
10068,ÎäÔòÌì-È¼ÉÕÇûÌå,,,1,8440001,1,10064,11,10064,10,SkillImpactScript_ModifyHP,-0.01,0,0,-1,-1,-1,-1,-1,-1,-1
10069,·çÉ³10Ãë-5Ãë,,,1,80079,1,10069,1,10069,10,SkillImpactScript_Interval,5,10002,-1,10005,50001,-1,1,-1,-1,-1
10070,·çÉ³20Ãë-5Ãë,,,1,80079,1,10069,2,10069,20,SkillImpactScript_Interval,5,10002,-1,10005,50001,-1,1,-1,-1,-1
10071,·çÉ³30Ãë-5Ãë,,,1,80079,1,10069,3,10069,30,SkillImpactScript_Interval,5,10002,-1,10005,50001,-1,1,-1,-1,-1
10072,·çÉ³10Ãë-2Ãë,,,1,80079,1,10069,4,10069,10,SkillImpactScript_Interval,2,10002,-1,10005,50001,-1,1,-1,-1,-1
10073,·çÉ³20Ãë-2Ãë,,,1,80079,1,10069,5,10069,20,SkillImpactScript_Interval,2,10002,-1,10005,50001,-1,1,-1,-1,-1
10074,·çÉ³30Ãë-2Ãë,,,1,80079,1,10069,6,10069,30,SkillImpactScript_Interval,2,10002,-1,10005,50001,-1,1,-1,-1,-1
10075,Î÷Ê©-Ä§Á¦»¤Ìå,,,0,80106,0,10039,1,10039,36000,SkillImpactScript_Interval,1,40,-1,82400000,-1,-1,-1,-1,-1,-1
10076,Î÷Ê©-Ä§Á¦»¤Ìå,,,0,80106,0,10039,2,10039,36000,SkillImpactScript_Interval,1,40,-1,82401000,-1,-1,-1,-1,-1,-1
10077,Î÷Ê©-Ä§Á¦»¤Ìå,,,0,80106,0,10039,3,10039,36000,SkillImpactScript_Interval,1,40,-1,82402000,-1,-1,-1,-1,-1,-1
10078,Î÷Ê©-Ä§Á¦»¤Ìå,,,0,80106,0,10039,4,10039,36000,SkillImpactScript_Interval,1,40,-1,82403000,-1,-1,-1,-1,-1,-1
10079,Î÷Ê©-Ä§Á¦»¤Ìå,,,0,80106,0,10039,5,10039,36000,SkillImpactScript_Interval,1,40,-1,82404000,-1,-1,-1,-1,-1,-1
10080,Ñî¹óåú-ÎÞË«¹â»·,,,0,80085,0,10080,1,10080,36000,SkillImpactScript_Interval,1,40,-1,83400000,-1,-1,-1,-1,-1,-1
10081,Ñî¹óåú-ÎÞË«¹â»·,,,0,80085,0,10080,2,10080,36000,SkillImpactScript_Interval,1,40,-1,83401000,-1,-1,-1,-1,-1,-1
10082,Ñî¹óåú-ÎÞË«¹â»·,,,0,80085,0,10080,3,10080,36000,SkillImpactScript_Interval,1,40,-1,83402000,-1,-1,-1,-1,-1,-1
10083,Ñî¹óåú-ÎÞË«¹â»·,,,0,80085,0,10080,4,10080,36000,SkillImpactScript_Interval,1,40,-1,83403000,-1,-1,-1,-1,-1,-1
10084,Ñî¹óåú-ÎÞË«¹â»·,,,0,80085,0,10080,5,10080,36000,SkillImpactScript_Interval,1,40,-1,83404000,-1,-1,-1,-1,-1,-1
10085,±ù·â1Ãë,,,1,80081,1,10085,1,10085,1,SkillImpactScript_Limit,1,2,3,-1,-1,-1,-1,-1,-1,-1
10086,±ù·â2Ãë,,,1,80081,1,10085,2,10085,2,SkillImpactScript_Limit,1,2,3,-1,-1,-1,-1,-1,-1,-1
10087,±ù·â3Ãë,,,1,80081,1,10085,3,10085,3,SkillImpactScript_Limit,1,2,3,-1,-1,-1,-1,-1,-1,-1
10088,±ù·â4Ãë,,,1,80081,1,10085,4,10085,4,SkillImpactScript_Limit,1,2,3,-1,-1,-1,-1,-1,-1,-1
10089,±ù·â5Ãë,,,1,80081,1,10085,5,10085,5,SkillImpactScript_Limit,1,2,3,-1,-1,-1,-1,-1,-1,-1
10090,¼õËÙ6Ãë,,,1,80080,1,10016,6,10016,6,SkillImpactScript_ModifyValue,18,0.5,0,-1,-1,-1,-1,-1,-1,-1
10091,¼õËÙ7Ãë,,,1,80080,1,10016,7,10016,7,SkillImpactScript_ModifyValue,18,0.5,0,-1,-1,-1,-1,-1,-1,-1
10092,¼õËÙ8Ãë,,,1,80080,1,10016,8,10016,8,SkillImpactScript_ModifyValue,18,0.5,0,-1,-1,-1,-1,-1,-1,-1
10093,¼õËÙ9Ãë,,,1,80080,1,10016,9,10016,9,SkillImpactScript_ModifyValue,18,0.5,0,-1,-1,-1,-1,-1,-1,-1
10094,¼õËÙ10Ãë,,,1,80080,1,10016,10,10016,10,SkillImpactScript_ModifyValue,18,0.5,0,-1,-1,-1,-1,-1,-1,-1
10095,×ÆÉÕ2Ãë,,,1,80004,1,10095,1,10095,2,SkillImpactScript_ModifyHP,-0.01,0,0,-1,-1,-1,-1,-1,-1,-1
10096,×ÆÉÕ4Ãë,,,1,80004,1,10095,2,10095,4,SkillImpactScript_ModifyHP,-0.02,0,0,-1,-1,-1,-1,-1,-1,-1
10097,×ÆÉÕ6Ãë,,,1,80004,1,10095,3,10095,6,SkillImpactScript_ModifyHP,-0.03,0,0,-1,-1,-1,-1,-1,-1,-1
10098,×ÆÉÕ8Ãë,,,1,80004,1,10095,4,10095,8,SkillImpactScript_ModifyHP,-0.05,0,0,-1,-1,-1,-1,-1,-1,-1
10099,×ÆÉÕ10Ãë,,,1,80004,1,10095,5,10095,10,SkillImpactScript_ModifyHP,-0.08,0,0,-1,-1,-1,-1,-1,-1,-1
10100,ÕÔÔÆ-ÎüÑª¹â»·Lv1,,,0,-1,0,10100,1,10100,36000,SkillImpactScript_Interval,1,40,-1,42300000,-1,-1,1,-1,-1,-1
10101,ÕÔÔÆ-ÎüÑª¹â»·Lv2,,,0,-1,0,10100,2,10100,36000,SkillImpactScript_Interval,1,40,-1,42301000,-1,-1,1,-1,-1,-1
10102,ÕÔÔÆ-ÎüÑª¹â»·Lv3,,,0,-1,0,10100,3,10100,36000,SkillImpactScript_Interval,1,40,-1,42302000,-1,-1,1,-1,-1,-1
10103,ÕÔÔÆ-ÎüÑª¹â»·Lv4,,,0,-1,0,10100,4,10100,36000,SkillImpactScript_Interval,1,40,-1,42303000,-1,-1,1,-1,-1,-1
10104,ÕÔÔÆ-ÎüÑª¹â»·Lv5,,,0,-1,0,10100,5,10100,36000,SkillImpactScript_Interval,1,40,-1,42304000,-1,-1,1,-1,-1,-1
10105,æ§¼º-ÃÄºü×ÙÓ°Lv1,,,1,80061,1,10105,1,10105,1.5,SkillImpactScript_Interval,1,10002,-1,80300000,-1,-1,1,-1,-1,-1
10106,æ§¼º-ÃÄºü×ÙÓ°Lv1,,,1,80061,1,10106,1,10106,1.5,SkillImpactScript_Interval,1,10002,-1,80300001,-1,-1,1,-1,-1,-1
10107,æ§¼º-ÃÄºü×ÙÓ°Lv1,,,1,80061,1,10107,1,10107,1.5,SkillImpactScript_Interval,1,10002,-1,80300002,-1,-1,1,-1,-1,-1
10108,æ§¼º-ÃÄºü×ÙÓ°Lv2,,,1,80061,1,10105,2,10105,1.5,SkillImpactScript_Interval,1,10002,-1,80301000,-1,-1,1,-1,-1,-1
10109,æ§¼º-ÃÄºü×ÙÓ°Lv2,,,1,80061,1,10106,2,10106,1.5,SkillImpactScript_Interval,1,10002,-1,80301001,-1,-1,1,-1,-1,-1
10110,æ§¼º-ÃÄºü×ÙÓ°Lv2,,,1,80061,1,10107,2,10107,1.5,SkillImpactScript_Interval,1,10002,-1,80301002,-1,-1,1,-1,-1,-1
10111,æ§¼º-ÃÄºü×ÙÓ°Lv3,,,1,80061,1,10105,3,10105,1.5,SkillImpactScript_Interval,1,10002,-1,80302000,-1,-1,1,-1,-1,-1
10112,æ§¼º-ÃÄºü×ÙÓ°Lv3,,,1,80061,1,10106,3,10106,1.5,SkillImpactScript_Interval,1,10002,-1,80302001,-1,-1,1,-1,-1,-1
10113,æ§¼º-ÃÄºü×ÙÓ°Lv3,,,1,80061,1,10107,3,10107,1.5,SkillImpactScript_Interval,1,10002,-1,80302002,-1,-1,1,-1,-1,-1
10114,æ§¼º-ÃÄºü×ÙÓ°Lv4,,,1,80061,1,10105,4,10105,1.5,SkillImpactScript_Interval,1,10002,-1,80303000,-1,-1,1,-1,-1,-1
10115,æ§¼º-ÃÄºü×ÙÓ°Lv4,,,1,80061,1,10106,4,10106,1.5,SkillImpactScript_Interval,1,10002,-1,80303001,-1,-1,-1,-1,-1,-1
10116,æ§¼º-ÃÄºü×ÙÓ°Lv4,,,1,80061,1,10107,4,10107,1.5,SkillImpactScript_Interval,1,10002,-1,80303002,-1,-1,-1,-1,-1,-1
10117,æ§¼º-ÃÄºü×ÙÓ°Lv5,,,1,80061,1,10105,5,10105,1.5,SkillImpactScript_Interval,1,10002,-1,80304000,-1,-1,-1,-1,-1,-1
10118,æ§¼º-ÃÄºü×ÙÓ°Lv5,,,1,80061,1,10106,5,10106,1.5,SkillImpactScript_Interval,1,10002,-1,80304001,-1,-1,-1,-1,-1,-1
10119,æ§¼º-ÃÄºü×ÙÓ°Lv5,,,1,80061,1,10107,5,10107,1.5,SkillImpactScript_Interval,1,10002,-1,80304002,-1,-1,-1,-1,-1,-1
#¹ÖÎï¼¼ÄÜ,,,,,,,,,,,,,,,,,,,,,
50000,Ô¤Áô,,,0,80013,0,10000,1,10000,999,SkillImpactScript_ModifyValue,14,0.2,10,-1,-1,-1,-1,-1,-1,-1
#BOSS¼¼ÄÜ,,,,,,,,,,,,,,,,,,,,,
100000,Ô¤Áô,,,0,80013,0,10000,1,10000,999,SkillImpactScript_ModifyValue,14,0.2,10,-1,-1,-1,-1,-1,-1,-1
#ÏÝÚåÀàÉËº¦,,,,,,,,,,,,,,,,,,,,,
1000000,µØ´Ì,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_Damage,1,1,0,0,-1,-1,-1,-1,-1,-1
1001000,ÅÚÀÓ,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_Damage,1,1,0,0,-1,-1,-1,-1,-1,-1
1002000,ÂäÀ×1,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_Damage,1,1,0,0,-1,-1,-1,-1,-1,-1
1002001,ÂäÀ×1,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_Damage,1,1,0,0,-1,-1,-1,-1,-1,-1
1002002,ÂäÀ×1,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_Damage,1,1,0,0,-1,-1,-1,-1,-1,-1
1002003,ÂäÀ×1,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_Damage,1,1,0,0,-1,-1,-1,-1,-1,-1
1002004,ÂäÀ×1,,,-1,-1,0,-1,-1,-1,0,SkillImpactScript_Damage,1,1,0,0,-1,-1,-1,-1,-1,-1
