"Id
===
Id
===
int-c","方案名称
===
Name
===
string-c","方案描述
===
Desc
===
string-c","子弹ShowID
===
BulletShowID
===
int-c","子弹生存时间
===
AliveTime
===
float-c","AI脚本
===
AIScript
===
string-c","目标类型
===
TargetClass
===
int-c","脚本参数0
===
ParamValues0
===
string-c","脚本参数1
===
ParamValues1
===
string-c","脚本参数2
===
ParamValues2
===
string-c","脚本参数3
===
ParamValues3
===
string-c","脚本参数4
===
ParamValues4
===
string-c","脚本参数5
===
ParamValues5
===
string-c","脚本参数6
===
ParamValues6
===
string-c","脚本参数7
===
ParamValues7
===
string-c","脚本参数8
===
ParamValues8
===
string-c","脚本参数9
===
ParamValues9
===
string-c","脚本参数10
===
ParamValues10
===
string-c","脚本参数11
===
ParamValues11
===
string-c","脚本参数12
===
ParamValues12
===
string-c","脚本参数13
===
ParamValues13
===
string-c"
201,武则天火雨,-1,50034,3,SkillBulletScript_HitInterval,1,4,506,1,-1,-1,0.3,5,0.5,-1,-1,-1,-1,-1,-1
202,曹操龙卷风,-1,50027,3,SkillBulletScript_HitInterval,1,3,5001,1,-1,-1,0.2,3,-1,-1,-1,-1,-1,-1,-1
203,曹操-风沙掠影Lv1,-1,50027,5,SkillBulletScript_Move,1,5,503,43300000,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
204,曹操-风沙掠影Lv2,-1,50027,5,SkillBulletScript_Move,1,5,503,43301000,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
205,曹操-风沙掠影Lv3,-1,50027,5,SkillBulletScript_Move,1,5,503,43302000,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
206,曹操-风沙掠影Lv4,-1,50027,5,SkillBulletScript_Move,1,5,503,43303000,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
207,曹操-风沙掠影Lv5,-1,50027,5,SkillBulletScript_Move,1,5,503,43304000,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
208,妲己-媚狐踪影Lv1,-1,50110,3,SkillBulletScript_Track,5,-1,10105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
209,妲己-媚狐踪影Lv2,-1,50110,3,SkillBulletScript_Track,5,-1,10108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
210,妲己-媚狐踪影Lv3,-1,50110,3,SkillBulletScript_Track,5,-1,10111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
211,妲己-媚狐踪影Lv4,-1,50110,3,SkillBulletScript_Track,5,-1,10114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
212,妲己-媚狐踪影Lv5,-1,50110,3,SkillBulletScript_Track,5,-1,10117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
213,妲己-媚狐踪影Lv1,-1,50108,3,SkillBulletScript_Track,5,-1,10106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
214,妲己-媚狐踪影Lv2,-1,50108,3,SkillBulletScript_Track,5,-1,10109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
215,妲己-媚狐踪影Lv3,-1,50108,3,SkillBulletScript_Track,5,-1,10112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
216,妲己-媚狐踪影Lv4,-1,50108,3,SkillBulletScript_Track,5,-1,10115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
217,妲己-媚狐踪影Lv5,-1,50108,3,SkillBulletScript_Track,5,-1,10118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
218,妲己-媚狐踪影Lv1,-1,50109,3,SkillBulletScript_Track,5,-1,10107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
219,妲己-媚狐踪影Lv2,-1,50109,3,SkillBulletScript_Track,5,-1,10110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
220,妲己-媚狐踪影Lv3,-1,50109,3,SkillBulletScript_Track,5,-1,10113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
221,妲己-媚狐踪影Lv4,-1,50109,3,SkillBulletScript_Track,5,-1,10116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
222,妲己-媚狐踪影Lv5,-1,50109,3,SkillBulletScript_Track,5,-1,10119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
223,貂蝉-旋转冰锥Lv1,-1,50002,4,SkillBulletScript_MoveHitOnce,1,4,-1,81400000,10001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
224,貂蝉-旋转冰锥Lv2,-1,50002,4,SkillBulletScript_MoveHitOnce,1,4,-1,81401000,10001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,貂蝉-旋转冰锥Lv3,-1,50002,4,SkillBulletScript_MoveHitOnce,1,4,-1,81402000,10001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
226,貂蝉-旋转冰锥Lv4,-1,50002,4,SkillBulletScript_MoveHitOnce,1,4,-1,81403000,10001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
227,貂蝉-旋转冰锥Lv5,-1,50002,4,SkillBulletScript_MoveHitOnce,1,4,-1,81404000,10001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
228,狄仁杰-火柱冲天Lv1,-1,50033,2,SkillBulletScript_Move,1,1,507,40400000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
229,狄仁杰-火柱冲天Lv2,-1,50033,2,SkillBulletScript_Move,1,1,507,40401000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
230,狄仁杰-火柱冲天Lv3,-1,50033,2,SkillBulletScript_Move,1,1,507,40402000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
231,狄仁杰-火柱冲天Lv4,-1,50033,2,SkillBulletScript_Move,1,1,507,40403000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
232,狄仁杰-火柱冲天Lv5,-1,50033,2,SkillBulletScript_Move,1,1,507,40404000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
233,雷震子-雷链Lv1,-1,50004,3,SkillBulletScript_Move,1,5,507,34400000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
234,雷震子-雷链Lv2,-1,50004,3,SkillBulletScript_Move,1,5,507,34401000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
235,雷震子-雷链Lv3,-1,50004,3,SkillBulletScript_Move,1,5,507,34402000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
236,雷震子-雷链Lv4,-1,50004,3,SkillBulletScript_Move,1,5,507,34403000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
237,雷震子-雷链Lv5,-1,50004,3,SkillBulletScript_Move,1,5,507,34404000,10001,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1
238,廉颇-暴怒尘土Lv1,-1,50037,3,SkillBulletScript_HitInterval,1,4,-1,41400000,50003,-1,2,2,-1,-1,-1,-1,-1,-1,-1
239,廉颇-暴怒尘土Lv2,-1,50037,3,SkillBulletScript_HitInterval,1,4,-1,41401000,50003,-1,2,2,-1,-1,-1,-1,-1,-1,-1
240,廉颇-暴怒尘土Lv3,-1,50037,3,SkillBulletScript_HitInterval,1,4,-1,41402000,50003,-1,2,2,-1,-1,-1,-1,-1,-1,-1
241,廉颇-暴怒尘土Lv4,-1,50037,3,SkillBulletScript_HitInterval,1,4,-1,41403000,50003,-1,2,2,-1,-1,-1,-1,-1,-1,-1
242,廉颇-暴怒尘土Lv5,-1,50037,3,SkillBulletScript_HitInterval,1,4,-1,41404000,50003,-1,2,2,-1,-1,-1,-1,-1,-1,-1
243,鲁班-普通攻击,-1,50006,3,SkillBulletScript_MoveHitOnce,1,10,-1,39000000,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
244,鲁班-普通攻击,-1,50006,3,SkillBulletScript_MoveHitOnce,1,10,-1,39001000,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
245,鲁班-普通攻击,-1,50006,3,SkillBulletScript_MoveHitOnce,1,10,-1,39002000,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
246,鲁班-普通攻击,-1,50006,3,SkillBulletScript_MoveHitOnce,1,10,-1,39003000,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
247,鲁班-普通攻击,-1,50006,3,SkillBulletScript_MoveHitOnce,1,10,-1,39004000,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
248,鲁班-燃烧机枪,-1,50006,2,SkillBulletScript_Move,1,15,-1,39400000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
249,鲁班-燃烧机枪,-1,50006,2,SkillBulletScript_Move,1,15,-1,39401000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
250,鲁班-燃烧机枪,-1,50006,2,SkillBulletScript_Move,1,15,-1,39402000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
251,鲁班-燃烧机枪,-1,50006,2,SkillBulletScript_Move,1,15,-1,39403000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
252,鲁班-燃烧机枪,-1,50006,2,SkillBulletScript_Move,1,15,-1,39404000,10001,50003,-1,0.5,-1,-1,-1,-1,-1,-1,-1
253,闻仲-普通攻击,-1,50003,2,SkillBulletScript_Move,1,15,-1,38000000,10001,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1
254,闻仲-普通攻击,-1,50003,2,SkillBulletScript_Move,1,15,-1,38001000,10001,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1
255,闻仲-普通攻击,-1,50003,2,SkillBulletScript_Move,1,15,-1,38002000,10001,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1
256,闻仲-普通攻击,-1,50003,2,SkillBulletScript_Move,1,15,-1,38003000,10001,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1
257,闻仲-普通攻击,-1,50003,2,SkillBulletScript_Move,1,15,-1,38004000,10001,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1
258,武则天-普通攻击,-1,50008,4,SkillBulletScript_MoveHitOnce,1,10,1061,84000000,50001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
259,武则天-普通攻击,-1,50008,4,SkillBulletScript_MoveHitOnce,1,10,1061,84001000,50001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
260,武则天-普通攻击,-1,50008,4,SkillBulletScript_MoveHitOnce,1,10,1061,84002000,50001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
261,武则天-普通攻击,-1,50008,4,SkillBulletScript_MoveHitOnce,1,10,1061,84003000,50001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
262,武则天-普通攻击,-1,50008,4,SkillBulletScript_MoveHitOnce,1,10,1061,84004000,50001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
263,武则天-凤凰涅槃,-1,100000,4,SkillBulletScript_Move,1,5,101,84200000,50001,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
264,武则天-凤凰涅槃,-1,100000,4,SkillBulletScript_Move,1,5,101,84201000,50001,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
265,武则天-凤凰涅槃,-1,100000,4,SkillBulletScript_Move,1,5,101,84202000,50001,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
266,武则天-凤凰涅槃,-1,100000,4,SkillBulletScript_Move,1,5,101,84203000,50001,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
267,武则天-凤凰涅槃,-1,100000,4,SkillBulletScript_Move,1,5,101,84204000,50001,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
268,纣王-刀火如龙,-1,50019,20,SkillBulletScript_Move,1,6,-1,31200003,50001,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
269,纣王-刀火如龙,-1,50019,20,SkillBulletScript_Move,1,6,-1,31201003,50001,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
270,纣王-刀火如龙,-1,50019,20,SkillBulletScript_Move,1,6,-1,31202003,50001,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
271,纣王-刀火如龙,-1,50019,20,SkillBulletScript_Move,1,6,-1,31203003,50001,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
272,纣王-刀火如龙,-1,50019,20,SkillBulletScript_Move,1,6,-1,31204003,50001,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
273,姜子牙-呼风唤雨1,-1,50003,5,SkillBulletScript_Move,1,5,-1,32200000,10001,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1
274,姜子牙-呼风唤雨2,-1,50003,5,SkillBulletScript_Move,1,5,-1,32201000,10001,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1
275,姜子牙-呼风唤雨3,-1,50003,5,SkillBulletScript_Move,1,5,-1,32202000,10001,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1
276,姜子牙-呼风唤雨4,-1,50003,5,SkillBulletScript_Move,1,5,-1,32203000,10001,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1
277,姜子牙-呼风唤雨5,-1,50003,5,SkillBulletScript_Move,1,5,-1,32204000,10001,50003,-1,-1,-1,-1,-1,-1,-1,-1,-1
278,姜子牙-呼风唤雨1,-1,50004,2,SkillBulletScript_HitInterval,1,3,-1,32200001,50001,-1,1,2,0,2,-1,-1,-1,-1,-1
279,姜子牙-呼风唤雨2,-1,50004,2,SkillBulletScript_HitInterval,1,3,-1,32201001,50001,-1,1,2,0,2,-1,-1,-1,-1,-1
280,姜子牙-呼风唤雨3,-1,50004,2,SkillBulletScript_HitInterval,1,3,-1,32202001,50001,-1,1,2,0,2,-1,-1,-1,-1,-1
281,姜子牙-呼风唤雨4,-1,50004,2,SkillBulletScript_HitInterval,1,3,-1,32203001,50001,-1,1,2,0,2,-1,-1,-1,-1,-1
282,姜子牙-呼风唤雨5,-1,50004,2,SkillBulletScript_HitInterval,1,3,-1,32204001,50001,-1,1,2,0,2,-1,-1,-1,-1,-1
283,闻仲-土石飞天,-1,50040,3,SkillBulletScript_HitInterval,1,5,-1,38200000,50001,-1,1,0,1,2,-1,-1,-1,-1,-1
284,闻仲-土石飞天,-1,50040,3,SkillBulletScript_HitInterval,1,5,-1,38201000,50001,-1,1,0,1,2,-1,-1,-1,-1,-1
285,闻仲-土石飞天,-1,50040,3,SkillBulletScript_HitInterval,1,5,-1,38202000,50001,-1,1,0,1,2,-1,-1,-1,-1,-1
286,闻仲-土石飞天,-1,50040,3,SkillBulletScript_HitInterval,1,5,-1,38203000,50001,-1,1,0,1,2,-1,-1,-1,-1,-1
287,闻仲-土石飞天,-1,50040,3,SkillBulletScript_HitInterval,1,5,-1,38204000,50001,-1,1,0,1,2,-1,-1,-1,-1,-1
288,西施-沙暴,-1,50035,2,SkillBulletScript_HitInterval,1,7,-1,82300000,50001,-1,0,2,0,0,-1,-1,-1,-1,-1
289,西施-沙暴,-1,50035,2,SkillBulletScript_HitInterval,1,7,-1,82301000,50001,-1,0,2,0,0,-1,-1,-1,-1,-1
290,西施-沙暴,-1,50035,2,SkillBulletScript_HitInterval,1,7,-1,82302000,50001,-1,0,2,0,0,-1,-1,-1,-1,-1
291,西施-沙暴,-1,50035,2,SkillBulletScript_HitInterval,1,7,-1,82303000,50001,-1,0,2,0,0,-1,-1,-1,-1,-1
292,西施-沙暴,-1,50035,2,SkillBulletScript_HitInterval,1,7,-1,82304000,50001,-1,0,2,0,0,-1,-1,-1,-1,-1
293,雷震子-普通攻击,-1,50004,1,SkillBulletScript_HitInterval,1,1159,-1,34000000,50001,-1,0.5,2,0,0,-1,-1,-1,-1,-1
294,雷震子-普通攻击,-1,50004,1,SkillBulletScript_HitInterval,1,1159,-1,34001000,50001,-1,0.5,2,0,0,-1,-1,-1,-1,-1
295,雷震子-普通攻击,-1,50004,1,SkillBulletScript_HitInterval,1,1159,-1,34002000,50001,-1,0.5,2,0,0,-1,-1,-1,-1,-1
296,雷震子-普通攻击,-1,50004,1,SkillBulletScript_HitInterval,1,1159,-1,34003000,50001,-1,0.5,2,0,0,-1,-1,-1,-1,-1
297,雷震子-普通攻击,-1,50004,1,SkillBulletScript_HitInterval,1,1159,-1,34004000,50001,-1,0.5,2,0,0,-1,-1,-1,-1,-1
298,鲁班-燃烧弹,-1,50112,1.5,SkillBulletScript_HitInterval,1,8,-1,39300000,50001,-1,0.5,2,0,1,-1,-1,-1,-1,-1
299,鲁班-燃烧弹,-1,50112,1.5,SkillBulletScript_HitInterval,1,8,-1,39301000,50001,-1,0.5,2,0,1,-1,-1,-1,-1,-1
300,鲁班-燃烧弹,-1,50112,1.5,SkillBulletScript_HitInterval,1,8,-1,39302000,50001,-1,0.5,2,0,1,-1,-1,-1,-1,-1
301,鲁班-燃烧弹,-1,50112,1.5,SkillBulletScript_HitInterval,1,8,-1,39303000,50001,-1,0.5,2,0,1,-1,-1,-1,-1,-1
302,鲁班-燃烧弹,-1,50112,1.5,SkillBulletScript_HitInterval,1,8,-1,39304000,50001,-1,0.5,2,0,1,-1,-1,-1,-1,-1
303,鲁班-燃烧弹-持续,-1,50032,5,SkillBulletScript_HitInterval,1,8,-1,39300001,50001,-1,0.2,-1,2,0,-1,-1,-1,-1,-1
304,鲁班-燃烧弹-持续,-1,50032,5,SkillBulletScript_HitInterval,1,8,-1,39301001,50001,-1,0.2,-1,2,0,-1,-1,-1,-1,-1
305,鲁班-燃烧弹-持续,-1,50032,5,SkillBulletScript_HitInterval,1,8,-1,39302001,50001,-1,0.2,-1,2,0,-1,-1,-1,-1,-1
306,鲁班-燃烧弹-持续,-1,50032,5,SkillBulletScript_HitInterval,1,8,-1,39303001,50001,-1,0.2,-1,2,0,-1,-1,-1,-1,-1
307,鲁班-燃烧弹-持续,-1,50032,5,SkillBulletScript_HitInterval,1,8,-1,39304001,50001,-1,0.2,-1,2,0,-1,-1,-1,-1,-1
308,鲁班-木桶爆炸,-1,50030,3,SkillBulletScript_HitInterval,1,8,1010,39500000,50001,-1,0,1,2,0,-1,-1,-1,-1,-1
309,鲁班-木桶爆炸,-1,50030,3,SkillBulletScript_HitInterval,1,8,1010,39501000,50001,-1,0,1,2,0,-1,-1,-1,-1,-1
310,鲁班-木桶爆炸,-1,50030,3,SkillBulletScript_HitInterval,1,8,1010,39502000,50001,-1,0,1,2,0,-1,-1,-1,-1,-1
311,鲁班-木桶爆炸,-1,50030,3,SkillBulletScript_HitInterval,1,8,1010,39503000,50001,-1,0,1,2,0,-1,-1,-1,-1,-1
312,鲁班-木桶爆炸,-1,50030,3,SkillBulletScript_HitInterval,1,8,1010,39504000,50001,-1,0,1,2,0,-1,-1,-1,-1,-1
313,鲁班-木桶爆炸表现,-1,60600,1.5,SkillBulletScript_HitInterval,1,8,1010,-1,50001,-1,0,1,0,0,-1,-1,-1,-1,-1
#副本用子弹,,,,,,,,,,,,,,,,,,,,
1000,落地_落雷,-1,50004,5,SkillBulletScript_HitInterval,1,12,-1,1000,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1001,落地_冰刺,-1,50020,5,SkillBulletScript_HitInterval,1,12,-1,1001,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1002,落地_冰环,-1,50021,5,SkillBulletScript_HitInterval,1,12,-1,1002,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1003,落地_冰雨,-1,50022,5,SkillBulletScript_HitInterval,1,12,-1,1003,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1004,落地_大冰锥,-1,50023,5,SkillBulletScript_HitInterval,1,12,-1,1004,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1005,落地,-1,50024,5,SkillBulletScript_HitInterval,1,12,-1,1005,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1006,落地_大落雷,-1,50025,5,SkillBulletScript_HitInterval,1,12,-1,1006,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1007,落地_雷球,-1,50026,5,SkillBulletScript_HitInterval,1,12,-1,1007,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1008,落地_龙卷风,-1,50027,5,SkillBulletScript_HitInterval,1,12,-1,1008,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1009,落地_群雷,-1,50028,5,SkillBulletScript_HitInterval,1,12,-1,1009,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1010,落地_小旋风,-1,50029,5,SkillBulletScript_HitInterval,1,12,-1,1010,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1011,落地_大爆炸,-1,50030,5,SkillBulletScript_HitInterval,1,12,-1,1011,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1012,落地_大火球,-1,50031,5,SkillBulletScript_HitInterval,1,12,-1,1012,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1013,落地_地火,-1,50032,5,SkillBulletScript_HitInterval,1,12,-1,1013,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1014,落地_火焰喷发,-1,50033,5,SkillBulletScript_HitInterval,1,12,-1,1014,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1015,落地_火雨,-1,50034,5,SkillBulletScript_HitInterval,1,12,-1,1015,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1016,落地_小爆炸,-1,50035,5,SkillBulletScript_HitInterval,1,12,-1,1016,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1017,落地_剑雨,-1,50036,5,SkillBulletScript_HitInterval,1,12,-1,1017,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1018,落地_崩地,-1,50037,5,SkillBulletScript_HitInterval,1,12,-1,1018,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1019,落地_毒水潭,-1,50038,5,SkillBulletScript_HitInterval,-1,12,-1,1019,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1020,落地_流沙,-1,50039,5,SkillBulletScript_HitInterval,-1,12,-1,1020,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1021,落地_落石,-1,50040,5,SkillBulletScript_HitInterval,1,12,-1,1021,-1,-1,0.5,2,2,1,-1,-1,-1,-1,-1
1500,飞行_电光,-1,50001,4,SkillBulletScript_MoveHitOnce,1,4,-1,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1501,飞行_电球,-1,50002,4,SkillBulletScript_MoveHitOnce,1,4,-1,1501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1502,飞行_风刃,-1,50003,4,SkillBulletScript_MoveHitOnce,1,4,-1,1502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1503,飞行_落雷,-1,50004,4,SkillBulletScript_MoveHitOnce,1,4,-1,1503,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1504,飞行_大火弹,-1,50005,4,SkillBulletScript_MoveHitOnce,1,4,-1,1504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1505,飞行_火弹,-1,50006,4,SkillBulletScript_MoveHitOnce,1,4,-1,1505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1506,飞行_火球,-1,50007,4,SkillBulletScript_MoveHitOnce,1,4,-1,1506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1507,飞行_火刃,-1,50008,4,SkillBulletScript_MoveHitOnce,1,4,-1,1507,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1508,飞行_冰箭,-1,50111,4,SkillBulletScript_MoveHitOnce,1,4,-1,1508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1509,飞行_冰箭02,-1,50111,4,SkillBulletScript_MoveHitOnce,1,4,-1,1509,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1510,飞行_大剑刃,-1,50011,4,SkillBulletScript_MoveHitOnce,1,4,-1,1510,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1511,飞行_大剑矢,-1,50012,4,SkillBulletScript_MoveHitOnce,1,4,-1,1511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
