"Id
===
Id
===
int-c","УћГЦ
===
Name
===
string-c","УшЪі
===
Desc
===
string-c","БЛЛїЬиаЇ0
===
HitEffect0
===
int-c","БЛЛїЬиаЇ1
===
HitEffect1
===
int-c","БЛЛїЬиаЇ2
===
HitEffect2
===
int-c","гВжБЪБМф
===
StiffTime
===
float-c","ЛїЗЩЫйЖШ
===
SpeedV
===
float-c","ЛїЭЫЗНЯђ
===
DirectH
===
float-c","ЛїЭЫЫйЖШ
===
SpeedH
===
float-c","ЛїЭЫЪБМф
===
TimeH
===
float-c","ИЁПеЛїЭЫЫйЖШ
===
SpeedHSky
===
float-c"
116,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,80,0.05,-1
117,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,85,0.05,-1
118,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,90,0.05,-1
119,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,95,0.05,-1
120,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,100,0.05,-1
121,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,5,0.1,-1
122,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,10,0.1,-1
123,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,15,0.1,-1
124,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,20,0.1,-1
125,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,25,0.1,-1
126,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,30,0.1,-1
127,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,35,0.1,-1
128,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,40,0.1,-1
129,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,45,0.1,-1
130,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,50,0.1,-1
131,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,55,0.1,-1
132,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,60,0.1,-1
133,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,65,0.1,-1
134,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,70,0.1,-1
135,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,75,0.1,-1
136,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,80,0.1,-1
137,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,85,0.1,-1
138,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,90,0.1,-1
139,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,95,0.1,-1
140,ЛїЭЫ,ЛїЭЫ,70014,-1,-1,0.6,-1,6,100,0.1,-1
#д­ЕиИЁПе,,,,,,,,,,,
501,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,1,-1,-1,0.1,-1
502,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,2,-1,-1,0.1,-1
503,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,3,-1,-1,0.1,-1
504,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,4,-1,-1,0.1,-1
505,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,5,-1,-1,0.1,-1
506,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,6,-1,-1,0.1,-1
507,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,7,-1,-1,0.1,-1
508,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,8,-1,-1,0.1,-1
509,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,9,-1,-1,0.1,-1
510,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,10,-1,-1,0.1,-1
511,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,11,-1,-1,0.1,-1
512,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,12,-1,-1,0.1,-1
513,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,13,-1,-1,0.1,-1
514,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,14,-1,-1,0.1,-1
515,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,15,-1,-1,0.1,-1
516,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,16,-1,-1,0.1,-1
517,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,17,-1,-1,0.1,-1
518,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,18,-1,-1,0.1,-1
519,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,19,-1,-1,0.1,-1
520,д­ЕиИЁПе,д­ЕиИЁПе,70014,-1,-1,0.05,20,-1,-1,0.1,-1
#ЕЅвЛЗНЯђЛїЭЫИЁПе,,,,,,,,,,,
1001,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,5,0.1,-1
1002,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,10,0.1,-1
1003,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,15,0.1,-1
1004,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,20,0.1,-1
1005,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,25,0.1,-1
1006,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,30,0.1,-1
1007,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,35,0.1,-1
1008,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,40,0.1,-1
1009,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,45,0.1,-1
1010,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,50,0.1,-1
1011,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,55,0.1,-1
1012,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,60,0.1,-1
1013,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,65,0.1,-1
1014,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,70,0.1,-1
1015,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,75,0.1,-1
1016,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,80,0.1,-1
1017,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,85,0.1,-1
1018,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,90,0.1,-1
1019,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,95,0.1,-1
1020,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,4,6,100,0.1,-1
1021,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,5,0.1,-1
1022,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,10,0.1,-1
1023,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,15,0.1,-1
1024,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,20,0.1,-1
1025,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,25,0.1,-1
1026,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,30,0.1,-1
1027,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,35,0.1,-1
1028,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,40,0.1,-1
1029,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,45,0.1,-1
1030,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,50,0.1,-1
1031,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,55,0.1,-1
1032,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,60,0.1,-1
1033,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,65,0.1,-1
1034,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,70,0.1,-1
1035,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,75,0.1,-1
1036,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,80,0.1,-1
1037,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,85,0.1,-1
1038,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,90,0.1,-1
1039,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,95,0.1,-1
1040,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,5,6,100,0.1,-1
1041,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,5,0.1,-1
1042,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,10,0.1,-1
1043,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,15,0.1,-1
1044,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,20,0.1,-1
1045,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,25,0.1,-1
1046,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,30,0.1,-1
1047,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,35,0.1,-1
1048,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,40,0.1,-1
1049,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,45,0.1,-1
1050,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,50,0.1,-1
1051,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,55,0.1,-1
1052,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,60,0.1,-1
1053,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,65,0.1,-1
1054,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,70,0.1,-1
1055,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,75,0.1,-1
1056,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,80,0.1,-1
1057,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,85,0.1,-1
1058,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,90,0.1,-1
1059,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,95,0.1,-1
1060,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,6,6,100,0.1,-1
1061,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,5,0.1,-1
1062,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,10,0.1,-1
1063,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,15,0.1,-1
1064,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,20,0.1,-1
1065,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,25,0.1,-1
1066,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,30,0.1,-1
1067,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,35,0.1,-1
1068,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,40,0.1,-1
1069,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,45,0.1,-1
1070,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,50,0.1,-1
1071,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,55,0.1,-1
1072,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,60,0.1,-1
1073,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,65,0.1,-1
1074,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,70,0.1,-1
1075,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,75,0.1,-1
1076,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,80,0.1,-1
1077,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,85,0.1,-1
1078,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,90,0.1,-1
1079,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,95,0.1,-1
1080,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,7,6,100,0.1,-1
1081,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,5,0.1,-1
1082,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,10,0.1,-1
1083,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,15,0.1,-1
1084,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,20,0.1,-1
1085,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,25,0.1,-1
1086,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,30,0.1,-1
1087,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,35,0.1,-1
1088,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,40,0.1,-1
1089,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,45,0.1,-1
1090,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,50,0.1,-1
1091,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,55,0.1,-1
1092,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,60,0.1,-1
1093,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,65,0.1,-1
1094,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,70,0.1,-1
1095,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,75,0.1,-1
1096,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,80,0.1,-1
1097,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,85,0.1,-1
1098,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,90,0.1,-1
1099,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,95,0.1,-1
1100,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,8,6,100,0.1,-1
1101,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,5,0.1,-1
1102,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,10,0.1,-1
1103,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,15,0.1,-1
1104,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,20,0.1,-1
1105,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,25,0.1,-1
1106,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,30,0.1,-1
1107,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,35,0.1,-1
1108,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,40,0.1,-1
1109,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,45,0.1,-1
1110,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,50,0.1,-1
1111,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,55,0.1,-1
1112,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,60,0.1,-1
1113,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,65,0.1,-1
1114,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,70,0.1,-1
1115,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,75,0.1,-1
1116,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,80,0.1,-1
1117,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,85,0.1,-1
1118,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,90,0.1,-1
1119,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,95,0.1,-1
1120,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,9,6,100,0.1,-1
1121,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,5,0.1,-1
1122,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,10,0.1,-1
1123,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,15,0.1,-1
1124,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,20,0.1,-1
1125,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,25,0.1,-1
1126,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,30,0.1,-1
1127,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,35,0.1,-1
1128,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,40,0.1,-1
1129,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,45,0.1,-1
1130,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,50,0.1,-1
1131,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,55,0.1,-1
1132,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,60,0.1,-1
1133,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,65,0.1,-1
1134,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,70,0.1,-1
1135,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,75,0.1,-1
1136,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,80,0.1,-1
1137,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,85,0.1,-1
1138,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,90,0.1,-1
1139,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,95,0.1,-1
1140,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,10,6,100,0.1,-1
1141,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,5,0.1,-1
1142,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,10,0.1,-1
1143,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,15,0.1,-1
1144,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,20,0.1,-1
1145,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,25,0.1,-1
1146,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,30,0.1,-1
1147,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,35,0.1,-1
1148,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,40,0.1,-1
1149,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,45,0.1,-1
1150,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,50,0.1,-1
1151,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,55,0.1,-1
1152,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,60,0.1,-1
1153,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,65,0.1,-1
1154,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,70,0.1,-1
1155,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,75,0.1,-1
1156,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,80,0.1,-1
1157,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,85,0.1,-1
1158,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,90,0.1,-1
1159,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,95,0.1,-1
1160,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,12,6,100,0.1,-1
1161,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,5,0.1,-1
1162,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,10,0.1,-1
1163,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,15,0.1,-1
1164,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,20,0.1,-1
1165,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,25,0.1,-1
1166,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,30,0.1,-1
1167,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,35,0.1,-1
1168,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,40,0.1,-1
1169,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,45,0.1,-1
1170,ЛїЭЫИЁПе,ЛїЭЫИЁПе,70014,-1,-1,0.05,15,6,50,0.1,-1
