"Id
===
Id
===
int-c","名称
===
Name
===
string-c","描述
===
Desc
===
string-c","场景资源名称（Unity）
===
SceneResName
===
string-c","配置信息名称
===
ConfigName
===
string-c","背景音效
===
BGSoundID
===
int-c","boss战背景音效
===
BossSoundID
===
int-c","长度（X）
===
Length
===
float-c","宽度（Z）
===
Width
===
float-c","摄像机X轴最小坐标
===
CamareXMin
===
float-c","摄像机X轴最大坐标
===
CamareXMax
===
float-c","摄像机Z轴最小坐标
===
CamareZMin
===
float-c","摄像机Z轴最大坐标
===
CamareZMax
===
float-c","摄像机出生点X
===
CamareBornX
===
float-c","摄像机出生点Z
===
CamareBornZ
===
float-c","角色出生点X
===
PlayerBornX
===
float-c","角色出生点Y
===
PlayerBornY
===
float-c","角色出生点Z
===
PlayerBornZ
===
float-c","角色出生角度Y
===
PlayerBornRotY
===
float-c","角色初始AI
===
FightAI
===
string-c","副本持续时间（秒）
===
LastSecond
===
int-c","战斗评级对应分数0
===
ScoreLevel0
===
int-c","战斗评级对应分数1
===
ScoreLevel1
===
int-c","战斗评级对应分数2
===
ScoreLevel2
===
int-c","战斗评级对应分数3
===
ScoreLevel3
===
int-c","战斗评级对应分数4
===
ScoreLevel4
===
int-c","战斗评级对应分数5
===
ScoreLevel5
===
int-c"
#11,沙漠06,,Stage_ShaMo_06,shamo06,15,17,60,60,-999,999,-999,999,32.5,7,32.5,7.5,7,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#12,沙漠07,,Stage_ShaMo_07,testnew,15,17,60,60,-999,999,-999,999,10,48,10,0,48,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#13,沙漠10,,Stage_ShaMo_10,shamo10,15,17,70,60,-999,999,-999,999,8,47,8,0,47,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#14,沙漠10,,Stage_ShaMo_01,shamo01,15,17,70,60,-999,999,-999,999,59,7,59,10,7,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#新手引导--测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,
15,朝歌城外,前方一片混乱，消灭敌人,Stage_01_03,chapter00_stage1_Stage_01_03,15,18,60,60,-999,999,-999,999,27.83468,43.74416,27.83468,1,43.74416,180,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
16,龙德殿,跟着杨戳和哪吒打纣王妲己,Stage_01_02,chapter00_stage2_Stage_01_02,17,20,40,75,-999,999,-999,999,20,7.5,20,0.4,7.5,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
17,测试主城,跟着杨戳和哪吒打纣王妲己,Stage_ZhuCheng_02,,17,20,40,75,-999,999,-999,999,50,46,50,5,46,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
#草原测试地图--测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,
#19,草原测试1,美术新弄的啦,Stage_DiXiaCheng_01,test01,18,19,50,50,-999,999,-999,999,4.3,-0.8,4.3,-3,-0.8,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#20,草原测试2,美术新弄的啦,Stage_DiXiaCheng_04,test01,18,19,50,50,-999,999,-999,999,29,6.3,29,0,6.3,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#21,草原测试3,美术新弄的啦,Stage_CaoYuan_03,test01,18,19,50,50,-999,999,-999,999,9,16,9,7,16,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
22,草原测试4,美术新弄的啦,Stage_CaoYuan_07,testnew,18,19,50,50,-999,999,-999,999,12,6,12,0,6,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#压力测试-测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,
#99,压力测试,临时场景,YaLiCeshi,yaliceshi,15,17,200,200,-999,999,-999,999,70,60,70,5,60,45,AIPlayerNormalSkill,600,0,1575,3150,7350,8400,9450
#终极测试地图--测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,
#100,草原测试3,美术新弄的啦,Stage_CaoYuan_03,finaltext,18,19,50,50,-999,999,-999,999,20,27,20,5,27,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#商朝-测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,
#111,引起骚动,对手的兵力很大，要想以少胜多看来要先慢慢消耗他们的兵力了。,Stage_CaoYuan_08,chapter01_stage1,18,19,50,50,-999,999,-999,999,10,11,10,3,11,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#112,打草惊蛇,战车是纣王主要的作战工具，这要是都摧毁了，是不是纣王就不会得瑟了？,Stage_CaoYuan_08,chapter01_stage2,18,19,50,50,-999,999,-999,999,34,22,34,3,22,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#113,导火线,申公豹助纣为虐，即使不去讨纣，我们也要为民除害，这是一场正邪之战。,Stage_CaoYuan_08,chapter01_stage3,18,19,50,50,-999,999,-999,999,25,8,25,3,8,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#114,朝歌城外,纣王的酷刑，让他们的国民受尽了折磨，十二点种方向，解救他们！,Stage_01_01,chapter01_stage4,16,17,60,60,-999,999,-999,999,29.6,8.6,29.6,2,8.6,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#115,太公钓鱼,听说改变历史的人就是这个拿着钩子钩鱼的人。,Stage_CaoYuan_02,chapter01_stage5,18,19,50,50,-999,999,-999,999,15,47,15,3,47,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#116,最强的辅佐,昏君的手下必定是昏庸的，即使他人再好再善良，不要犹豫，解脱他吧。,Stage_CaoYuan_03,chapter01_stage6,15,17,50,50,-999,999,-999,999,14,18,14,3,18,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#117,超级厚的城墙,举国上下的奴隶都变成了你的敌人，大事不妙，看来擒贼还是先擒王的好。,CeShi_BFB07,chapter01_stage7,15,17,50,50,-999,999,-999,999,30,8.5,30,2,8.5,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#118,在此终结,进击鹿台，推翻政权，灭掉纣王，喝他的酒，吃他的肉，当然也不能放过一个妹子。,Stage_01_02,chapter01_stage8,16,17,40,75,-999,999,-999,999,20,7.5,20,0.4,7.5,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#周和春秋-测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,
#121,进击的友军,你抢了人家的饭碗，小命休矣。,Stage_ShaMo_14,chapter02_stage1,15,17,80,80,-999,999,-999,999,64,40,64,22,40,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#122,宿命,死亡的脚步越来越近了，终究逃不过，小心。,Stage_ShaMo_13,chapter02_stage2,15,17,80,60,-999,999,-999,999,23,14,23,3,14,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#123,新式武器,这是一些新鲜的玩意，好新鲜哦。,Stage_CaoYuan_05,chapter02_stage3,15,17,50,50,-999,999,-999,999,15,11,15,3,11,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#124,发明家,史上最强大的发明家，小瞧他。,Stage_CaoYuan_05,chapter02_stage4,15,17,50,50,-999,999,-999,999,32,19,32,3,19,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#125,云梦山,遍布机关的山，鬼谷子是怎么采药的。,Stage_CaoYuan_03,chapter02_stage5,15,17,50,50,-999,999,-999,999,16,23,16,3,23,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#126,觐见之路,这个歪着眼睛的人，居然是孙膑。,Stage_CaoYuan_06,chapter02_stage6,15,17,50,50,-999,999,-999,999,50,8,50,3,8,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#127,切磋,纵横家的意思是能纵能横！,Stage_CaoYuan_07,chapter02_stage7,15,17,50,50,-999,999,-999,999,29,15,29,3,15,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#战国-测试章节,,,,,,,,,,,,,,,,,,,,,,,,,,
#131,除暴安良,不知道哪来的一群疯子……,Stage_CaoYuan_03,chapter03_stage1,15,17,50,50,-999,999,-999,999,14,18,14,3,18,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#132,英雄救美,看，那不是情人眼里出来的稀屎么！,Stage_CaoYuan_08,chapter03_stage2,15,17,50,50,-999,999,-999,999,45,11,45,3,11,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#133,好人做到底,展现你男人气概的时候到了，别怕。,Stage_CaoYuan_06,chapter03_stage3,15,17,50,50,-999,999,-999,999,50,8,50,3,8,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#134,不自量力的廉颇,这样衣着整齐的人应该不是疯子。,Stage_ShaMo_04,chapter03_stage4,15,17,50,50,-999,999,-999,999,37,34,37,3,34,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#135,负荆请罪,代表秦军击败廉颇，别让他嚣张,Stage_ShaMo_01,chapter03_stage5,15,17,50,50,-999,999,-999,999,60,9,60,3,9,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#136,逃出追杀,你把廉颇将军羞辱了，蔺相如派兵追着你满地跑,Stage_ShaMo_06,chapter03_stage6,15,17,50,50,-999,999,-999,999,25,25,25,3,25,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#137,危难四起,满地都是赵国的人，还是投靠秦吧,Stage_CaoYuan_03,chapter03_stage7,15,17,50,50,-999,999,-999,999,14,18,14,3,18,45,AIPlayerNormalSkill,300,0,1575,3150,7350,8400,9450
#第一章,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,蛮荒伊始,曾经的绿洲变成了如今的荒漠，漫野的鲜花变成了如今的尸骸四布，就连商朝的军营都成了响马们的聚集地。这个魔王肆虐的混乱世界啊！,Stage_BingYuan_01,chapter01_stage1_Stage_BingYuan_01,15,18,70,60,-999,999,-999,999,35.71305,17.77567,35.71305,8,17.77567,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
1011,助纣为虐,进入盘蛇山脉的最深处，就能找到为虎作伥的商周妖巫师申公豹，只是不知他邪恶的巫法在做什么祟，解决它商朝就恢复了正常吧？,Stage_ShaMo_02,chapter01_stage2_Stage_ShaMo_02,15,18,60,60,-999,999,-999,999,30.911,8.9661,30.911,5,8.9661,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
1021,旗鼓相当,万恶的巫咒虽然已经解开，但魔王附身于纣王与妲己心中的恶欲却无法解开。历史终要归于正位，击破纣王的大军就在牧野。,Stage_CaoYuan_03,chapter01_stage3_Stage_CaoYuan_03,16,19,40,70,-999,999,-999,999,42.828,11.912,42.828,5,11.912,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
1031,力挽狂澜,胜利的脚步越来越近了，终究会迎来曙光，不过小心。,Stage_DiXiaCheng_05,chapter01_stage4_Stage_DiXiaCheng_05,17,20,80,60,-999,999,-999,999,18.688,7.8656,18.688,0,7.8656,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
1041,倾尽天下,朝歌城外，兵临城下。商的末日代表一个罪恶的终结，也代表历史踏入正轨的第一步。,Stage_ShaMo_08,chapter01_stage5_Stage_ShaMo_08,15,18,60,60,-999,999,-999,999,42.02692,12.25684,42.02692,10,12.25684,270,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
1051,盘蛇山脉,妲己与纣王就在龙德殿内，终要来临的胜利就在眼前呢，与西周的将士一起终结了吧,Stage_CaoYuan_08,chapter01_stage6_Stage_CaoYuan_08,15,18,40,75,-999,999,-999,999,47.11454,40.09534,47.11454,3,40.09534,180,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
#第二章,,,,,,,50,,,,,,,,,,,,,,,,,,,
2001,尊王攘夷,难怪千年来难寻秦始皇的棺木，原来他并不在墓穴之中，而且墓穴有人闯入过，会是谁呢？最坏的结果就是…,Stage_ShaMo_13,chapter02_stage1_Stage_ShaMo_13,15,18,50,50,-999,999,-999,999,20.618,14.816,20.618,0,14.816,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
2011,纷争割据,看样子最坏的结果还是来了，项羽在秦皇陵中受到恶欲所控，并获得了强大的妖邪之力。,Stage_CaoYuan_01,chapter02_stage2_Stage_CaoYuan_01,15,18,50,50,-999,999,-999,999,50.814,42.697,50.814,0,42.697,90,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
2021,当世名将,刘邦兵败穷途末路，守护历史的命脉。,Stage_01_01,chapter02_stage3_Stage_01_01,15,18,50,50,-999,999,-999,999,29.443,12.389,29.443,0,12.389,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
2031,希望之光,乌江河岸，英雄末路。,Stage_01_02,chapter02_stage4_Stage_01_02,15,18,50,50,-999,999,-999,999,20.651,5.4016,20.651,0,5.4016,90,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
2041,一鸣惊人,难怪千年来难寻秦始皇的棺木，原来他并不在墓穴之中，而且墓穴有人闯入过，会是谁呢？最坏的结果就是…,Stage_ShaMo_12,chapter02_stage5_Stage_ShaMo_12,15,18,57,57,-999,999,-999,999,48.432,24.178,48.432,0,24.178,0,AIPlayerNormalSkill,120,0,525,2100,4200,6300,7875
2051,退避三舍,看样子最坏的结果还是来了，项羽在秦皇陵中受到恶欲所控，并获得了强大的妖邪之力。,Stage_DiXiaCheng_03,chapter02_stage6_Stage_DiXiaCheng_03,15,18,50,50,-999,999,-999,999,19.218,46.451,19.218,0,46.451,270,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
#第三章,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,亲政加冕,亲政加冕,Stage_DiXiaCheng_01,chapter03_stage1_Stage_DiXiaCheng_01,15,18,50,50,-999,999,-999,999,30.07479,8.303611,30.07479,-1.677359,8.303611,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
3011,调兵遣将,调兵遣将,Stage_DiXiaCheng_01,chapter03_stage2_Stage_DiXiaCheng_01,15,18,50,50,-999,999,-999,999,30.07479,8.303611,30.07479,-1.677359,8.303611,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
3021,长平之战,长平之战,Stage_CaoYuan_02,chapter03_stage3_Stage_CaoYuan_02,15,18,50,50,-999,999,-999,999,48,44,48,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
3031,天下合纵,天下合纵,Stage_BingYuan_05,chapter03_stage4_Stage_BingYuan_05,15,18,50,50,-999,999,-999,999,27.08331,32.75906,27.08331,3,32.75906,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
3041,龙城飞将,龙城飞将,Stage_DiXiaCheng_03,chapter03_stage5_Stage_DiXiaCheng_03,15,18,50,50,-999,999,-999,999,20,44,20,0,44,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
3051,各个击破,各个击破,Stage_ShaMo_07,chapter03_stage6_Stage_ShaMo_07,15,18,50,50,-999,999,-999,999,9.5,46,9.5,0,46,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
3061,一统中原,一统中原,Stage_CaoYuan_08,chapter03_stage7_Stage_CaoYuan_08,17,20,50,50,-999,999,-999,999,47.11454,40.09534,47.11454,3,40.09534,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
3071,初现锋芒,初现锋芒,Stage_ShaMo_15,chapter03_stage8_Stage_ShaMo_15,15,18,50,50,-999,999,-999,999,65.55671,10.73331,65.55671,20,10.73331,270,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
#第四章,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,王陵深处,王陵深处,Stage_BingYuan_02,chapter04_stage1_Stage_BingYuan_02,16,19,50,50,-999,999,-999,999,66.525,23.745,66.525,0,23.745,270,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
4011,力拔山兮,力拔山兮,Stage_CaoYuan_01,chapter04_stage2_Stage_CaoYuan_01,16,19,50,50,-999,999,-999,999,13.798,8.727,13.798,5,8.727,180,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
4021,赴宴鸿门,赴宴鸿门,Stage_ShaMo_01,chapter04_stage3_Stage_ShaMo_01,15,18,50,50,-999,999,-999,999,57.232,10.042,57.232,5,10.042,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
4031,刘邦危难,刘邦危难,Stage_CaoYuan_04,chapter04_stage4_Stage_CaoYuan_04,15,18,50,50,-999,999,-999,999,47.403,21.731,47.403,3,21.731,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
4041,垓下之战,垓下之战,Stage_ShaMo_15,chapter04_stage5_Stage_ShaMo_15,15,18,50,50,-999,999,-999,999,73.932,9.3557,73.932,3,9.3557,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
4051,魂灭乌江,魂灭乌江,Stage_DiXiaCheng_04,chapter04_stage6_Stage_DiXiaCheng_04,15,18,50,50,-999,999,-999,999,44.481,5.7669,44.481,3,5.7669,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
4061,合肥会战,合肥会战,Stage_ShaMo_14,chapter04_stage7_Stage_ShaMo_14,15,18,50,50,-999,999,-999,999,68.603,33.123,68.603,15,33.123,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
4071,夷陵之战,夷陵之战,Stage_DiXiaCheng_02,chapter04_stage8_Stage_DiXiaCheng_02,15,18,50,50,-999,999,-999,999,2.7066,-4.6073,2.7066,3,-4.6073,90,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
#精英行,,,,,,,,,,,,,,,,,,,,,,,,,,
#第一章精英,,,,,,,,,,,,,,,,,,,,,,,,,,
101001,蛮荒伊始-精英,曾经的绿洲变成了如今的荒漠，漫野的鲜花变成了如今的尸骸四布，就连商朝的军营都成了响马们的聚集地。这个魔王肆虐的混乱世界啊！,Stage_BingYuan_01,s_chapter01_stage1_Stage_BingYuan_01,15,18,70,60,-999,999,-999,999,35.71305,17.77567,35.71305,8,17.77567,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
101011,助纣为虐-精英,进入盘蛇山脉的最深处，就能找到为虎作伥的商周妖巫师申公豹，只是不知他邪恶的巫法在做什么祟，解决它商朝就恢复了正常吧？,Stage_ShaMo_02,s_chapter01_stage2_Stage_ShaMo_02,15,18,60,60,-999,999,-999,999,30.911,8.9661,30.911,5,8.9661,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
101021,旗鼓相当-精英,万恶的巫咒虽然已经解开，但魔王附身于纣王与妲己心中的恶欲却无法解开。历史终要归于正位，击破纣王的大军就在牧野。,Stage_CaoYuan_03,s_chapter01_stage3_Stage_CaoYuan_03,16,19,40,70,-999,999,-999,999,42.828,11.912,42.828,5,11.912,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
101031,力挽狂澜-精英,胜利的脚步越来越近了，终究会迎来曙光，不过小心。,Stage_DiXiaCheng_05,s_chapter01_stage4_Stage_DiXiaCheng_05,17,20,80,60,-999,999,-999,999,18.688,7.8656,18.688,0,7.8656,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
101041,倾尽天下-精英,朝歌城外，兵临城下。商的末日代表一个罪恶的终结，也代表历史踏入正轨的第一步。,Stage_ShaMo_08,s_chapter01_stage5_Stage_ShaMo_08,15,18,60,60,-999,999,-999,999,42.02692,12.25684,42.02692,10,12.25684,270,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
101051,盘蛇山脉-精英,妲己与纣王就在龙德殿内，终要来临的胜利就在眼前呢，与西周的将士一起终结了吧,Stage_CaoYuan_08,s_chapter01_stage6_Stage_CaoYuan_08,15,18,40,75,-999,999,-999,999,,40.09534,47.11454,3,40.09534,180,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
#第二章精英,,,,,,,,,,,,,,,,,,,,,,,,,,
102001,尊王攘夷-精英,难怪千年来难寻秦始皇的棺木，原来他并不在墓穴之中，而且墓穴有人闯入过，会是谁呢？最坏的结果就是…,Stage_ShaMo_13,s_chapter02_stage1_Stage_ShaMo_13,15,18,50,50,-999,999,-999,999,20.618,14.816,20.618,0,14.816,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
102011,纷争割据-精英,看样子最坏的结果还是来了，项羽在秦皇陵中受到恶欲所控，并获得了强大的妖邪之力。,Stage_CaoYuan_01,s_chapter02_stage2_Stage_CaoYuan_01,15,18,50,50,-999,999,-999,999,50.814,42.697,50.814,0,42.697,90,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
102021,当世名将-精英,刘邦兵败穷途末路，守护历史的命脉。,Stage_01_01,s_chapter02_stage3_Stage_01_01,15,18,50,50,-999,999,-999,999,29.443,12.389,29.443,0,12.389,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
102031,希望之光-精英,乌江河岸，英雄末路。,Stage_01_02,s_chapter02_stage4_Stage_01_02,15,18,50,50,-999,999,-999,999,20.651,5.4016,20.651,0,5.4016,90,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
102041,一鸣惊人-精英,难怪千年来难寻秦始皇的棺木，原来他并不在墓穴之中，而且墓穴有人闯入过，会是谁呢？最坏的结果就是…,Stage_ShaMo_12,s_chapter02_stage5_Stage_ShaMo_12,15,18,57,57,-999,999,-999,999,48.432,24.178,48.432,0,24.178,0,AIPlayerNormalSkill,120,0,525,2100,4200,6300,7875
102051,退避三舍-精英,看样子最坏的结果还是来了，项羽在秦皇陵中受到恶欲所控，并获得了强大的妖邪之力。,Stage_DiXiaCheng_03,s_chapter02_stage6_Stage_DiXiaCheng_03,15,18,50,50,-999,999,-999,999,19.218,46.451,19.218,0,46.451,270,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
#第三章精英,,,,,,,,,,,,,,,,,,,,,,,,,,
103001,亲政加冕-精英,秦末起义,Stage_DiXiaCheng_01,s_chapter03_stage1_Stage_DiXiaCheng_01,15,18,50,50,-999,999,-999,999,30.07479,8.303611,30.07479,-1.677359,8.303611,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
103011,调兵遣将-精英,巨鹿之战,Stage_DiXiaCheng_01,s_chapter03_stage2_Stage_DiXiaCheng_01,15,18,50,50,-999,999,-999,999,30.07479,8.303611,30.07479,-1.677359,8.303611,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
103021,长平之战-精英,赴宴鸿门,Stage_CaoYuan_02,s_chapter03_stage3_Stage_CaoYuan_02,15,18,50,50,-999,999,-999,999,48,44,48,3,44,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
103031,天下合纵-精英,戏下分封,Stage_BingYuan_05,s_chapter03_stage4_Stage_BingYuan_05,15,18,50,50,-999,999,-999,999,27.08331,32.75906,27.08331,3,32.75906,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
103041,龙城飞将-精英,韬光养晦,Stage_DiXiaCheng_03,s_chapter03_stage5_Stage_DiXiaCheng_03,15,18,50,50,-999,999,-999,999,20,44,20,0,44,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
103051,各个击破-精英,背水一战,Stage_ShaMo_07,s_chapter03_stage6_Stage_ShaMo_07,15,18,50,50,-999,999,-999,999,9.5,46,9.5,0,46,45,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
103061,一统中原-精英,垓下之战,Stage_CaoYuan_08,s_chapter03_stage7_Stage_CaoYuan_08,17,20,50,50,-999,999,-999,999,47.11454,40.09534,47.11454,3,40.09534,0,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
103071,初现锋芒-精英,乌江自刎,Stage_ShaMo_15,s_chapter03_stage8_Stage_ShaMo_15,15,18,50,50,-999,999,-999,999,65.55671,10.73331,65.55671,20,10.73331,270,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
#第四章精英,,,,,,,,,,,,,,,,,,,,,,,,,,
104001,王陵深处-精英,黄巾起义,Stage_BingYuan_02,s_chapter04_stage1_Stage_BingYuan_02,16,19,50,50,-999,999,-999,999,66.525,23.745,66.525,0,23.745,90,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
104011,力拔山兮-精英,群雄逐鹿,Stage_CaoYuan_01,s_chapter04_stage2_Stage_CaoYuan_01,16,19,50,50,-999,999,-999,999,13.798,8.727,13.798,5,8.727,180,AIPlayerNormalSkill,300,0,525,2100,4200,6300,7875
