"Id
===
Id
===
int-c","特效方案名称
===
Name
===
string-c","特效方案描述
===
Desc
===
string-c","特效名称
===
EffectName
===
string-c","特效出生点名称
===
PointName
===
string-c","特效是否绑定
===
IsBand
===
bool-c","特效持续（剪辑播放比率）
===
LastFrame
===
float-c","特效持续时间（秒）
===
LastTime
===
float-c","特效持续（与招式同步）
===
LastAsAnimation
===
bool-c","重播间隔（持续时间内）
===
ReplayInterval
===
float-c","播放速度
===
Speed
===
float-c","播放速度是否受攻击速度影响
===
SpeedAsAnimation
===
bool-c","播放速度是否会暂停
===
StopAsAnimation
===
bool-c"
5005,斧头5,FixP2,effect_char_boy_02_attack_05_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#技能攻击,,,,,,,,,,,,
5102,旋风斧起手,FixP2,effect_char_boy_02_skill_03_start_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
5103,旋风斧命中,FixP2,effect_char_boy_02_skill_03_hit_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
5105,冲击起手,sole,effect_char_boy_02_skill_04_start_a_sole,sole,1,-1,5,1,-1,1,1,1
5106,冲击命中,sole,effect_char_boy_02_skill_04_hit_a_sole,sole,1,-1,5,1,-1,1,1,1
5107,冲击命中结束,sole,effect_char_boy_02_skill_04_end_a_sole,sole,1,-1,5,1,-1,1,1,1
#特殊系统动作,,,,,,,,,,,,
5905,冲刺,sole,effect_char_boy_02_skill_05_start_a_sole,sole,1,-1,1,1,-1,1,1,1
5906,冲刺攻击,sole,effect_char_boy_02_skill_05_end_a_sole,sole,1,-1,5,1,-1,1,1,1
#无双技,,,,,,,,,,,,
5802,男主角无双技,FixP2,effect_char_boy_02_super_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#特殊系统动作,,,,,,,,,,,,
5904,斧头防御反击攻击,FixP2,effect_char_boy_02_skill_05_end_a,FixP2,1,-1,5,-1,-1,1,1,1
#敌兵,,,,,,,,,,,,
#双刀兵,,,,,,,,,,,,
40001,普通攻击,FixP2,effect_mon_shuangdaoduizhang_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
40021,特殊攻击,FixP2,effect_mon_shuangdaoduizhang_01_attack_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#锤兵,,,,,,,,,,,,
40101,普通攻击,FixP2,effect_mon_chuibingduizhang_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
40121,特殊攻击,FixP2,effect_mon_chuibingduizhang_01_attack_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
40131,特殊攻击,FixP2,effect_mon_chuibingduizhang_01_attack_03_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#刺客,,,,,,,,,,,,
40201,普通攻击,FixP2,effect_mon_shashoutouling_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
40221,特殊攻击,FixP2,effect_mon_shashoutouling_01_attack_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#剑兵,,,,,,,,,,,,
40601,普通攻击,FixP2,effect_mon_jianbingduizhang_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
40621,特殊攻击,FixP2,effect_mon_jianbingduizhang_01_attack_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#拳师,,,,,,,,,,,,
40701,普通攻击,FixP2,effect_mon_quanshi_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
40721,特殊攻击1,FixP2,effect_mon_quanshi_01_attack_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
40722,特殊攻击2,FixP2,effect_mon_quanshi_01_attack_03_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#丐帮长老,,,,,,,,,,,,
40901,普通攻击,FixP2,effect_mon_gaibangzhanglao_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
40921,特殊攻击,FixP2,effect_mon_gaibangzhanglao_01_attack_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
40922,特殊攻击,FixP2,effect_mon_gaibangzhanglao_01_attack_03_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#斧兵,,,,,,,,,,,,
41201,普通攻击,FixP2,effect_mon_fubingduizhang_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
41221,特殊攻击,FixP2,effect_mon_fubingduizhang_01_attack_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#刀盾兵（护卫队长）,,,,,,,,,,,,
41401,普通攻击,FixP2,effect_mon_huweiduizhang_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
41421,特殊攻击1,FixP2,effect_mon_huweiduizhang_01_attack_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
41422,特殊攻击2,sole,Effect_Mon_HuWeiDuiZhang_01_Attack_03_A_sole,sole,1,-1,5,1,-1,1,1,1
#持斧山贼,,,,,,,,,,,,
41501,普通攻击,FixP2,effect_mon_chifushanzeiduizhang_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
41521,特殊攻击,FixP2,effect_mon_chifushanzeiduizhang_01_attack_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
41531,特殊攻击,FixP2,effect_mon_chifushanzeiduizhang_01_attack_03_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#弓箭兵,,,,,,,,,,,,
41601,普通攻击,FixP2,Effect_Mon_GongJianBing_01_Attack_01_A_FixP2,FixP2,1,-1,5,1,-1,1,1,1
41621,特殊攻击,FixP2,Effect_Mon_GongJianBing_01_Attack_02_A_FixP2,FixP2,1,-1,5,1,-1,1,1,1
#少林棍僧（队长）,,,,,,,,,,,,
41701,普通攻击,FixP2,effect_mon_shaolingunseng_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
41721,特殊攻击,FixP2,effect_mon_shaolingunseng_01_attack_02_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#弓箭兵队长,,,,,,,,,,,,
41801,普通攻击,FixP2,Effect_Mon_GongJianBing_01_Attack_01_A_FixP2,FixP2,1,-1,5,1,-1,1,1,1
41821,特殊攻击,FixP2,Effect_Mon_GongJBingDuiZhang_01_Attack_03_A_FixP2,FixP2,1,-1,5,1,-1,1,1,1
#陷阱类,,,,,,,,,,,,
#炮烙,,,,,,,,,,,,
50002,普通攻击,FixP2,effect_trap_paoluo_01_01_a,FixP2,1,-1,5,-1,-1,1,1,1
#炮烙2,,,,,,,,,,,,
50006,普通攻击,FixP2,effect_trap_paoluo_01_01_a,FixP2,1,-1,2,1,-1,1,1,1
#其他通用特效,,,,,,,,,,,,
#武将召唤,,,,,,,,,,,,
#闪避,,,,,,,,,,,,
70001,闪避,FixP2,effect_shanbi_a_fixp2,FixP2,1,-1,3,1,-1,1,1,1
#武将召唤,,,,,,,,,,,,
70002,武将召唤,FixP2,effect_char_wujiangzhaohuan_fixp2,FixP2,0,-1,5,0,-1,1,1,1
#无双技,,,,,,,,,,,,
70003,普通无双起手,FixP2,effect_char_wushuanqishoulanse,FixP2,0,-1,0.6,1,-1,1,1,1
70004,合体无双起手,FixP2,effect_char_wushuanqishouhongse,FixP2,0,-1,0.6,1,-1,1,1,1
#必杀技起手,,,,,,,,,,,,
70005,起手,sole,effect_char_qishou_sole,sole,1,-1,5,0,-1,1,1,1
#受创特效,,,,,,,,,,,,
70011,受创1,self,effect_baodian_a,Hit,1,-1,5,-1,-1,1,-1,-1
70012,受创2,self,effect_baodian_b,Hit,1,-1,5,-1,-1,1,-1,-1
70013,受创3,self,effect_baodian_c,Hit,1,-1,5,-1,-1,1,-1,-1
70014,受创4,self,effect_baodian_d,Hit,1,-1,5,-1,-1,1,-1,-1
#冲刺,,,,,,,,,,,,
70100,冲刺,sole,effect_chan_chongci_sole,sole,1,-1,3,1,-1,1,1,1
#BUFF特效,,,,,,,,,,,,
80001,护盾,FixP2,effect_buff_hudun_01_fixp2,FixP2,1,-1,36000,1,-1,1,0,1
80002,恢复生命,FixP2,Effect_Buff_HuiFuShengMin_01_FixP2,FixP2,1,-1,3,0,-1,1,0,1
80003,不死莲花,FixP2,Effect_Hero_NeZha_01_Skill_03_A_FixP2,FixP2,1,-1,3,0,-1,1,0,1
80004,烧伤,FixP2,Effect_Buff_ZhuoShao_01_FixP2,FixP2,1,-1,3,0,-1,1,0,1
80005,迅雷之光,FixP2,Effect_Hero_LeiZhenZi_01_Buff_01_Hit_A_FixP2,FixP2,1,-1,3,0,-1,1,0,1
80006,迅雷之光,FixP2,Effect_Hero_LeiZhenZi_01_Skill_02_A_FixP2,FixP2,1,-1,3,0,-1,1,0,1
80007,雷霆,FixP2,Effect_Hero_LeiZhenZi_01_Skill_02_A_FixP2,FixP2,1,-1,3,0,-1,1,0,1
80008,同归于尽,FixP2,Effect_Hero_BaiQi_01_Skill_02_A_FixP2,FixP2,1,3,1,0,-1,1,0,1
80009,减速,FixP2,Effect_Buff_YiDongSuDuJiangDi_01_FixP2,FixP2,1,-1,3,0,-1,1,0,1
80010,霸体,sole,Effect_Buff_BaTi_sole,sole,1,-1,36000,1,-1,1,0,1
80011,眩晕,head,Effect_Buff_XuanYun_01_Head,head,1,-1,3,0,-1,1,0,1
80012,曹操光环,FixP2,Effect_Hero_ShenGongBao_01_Buff_01_A_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80013,防御降低,FixP2,Effect_Buff_FangYuLiJiangDi_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80014,暴击增加,FixP2,Effect_Buff_BaoJiZengJia_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80015,防御增加,FixP2,Effect_Buff_FangYuLiZengJia_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80016,割裂,FixP2,Effect_Buff_GeLie_01_FixP2,FixP2,1,-1,6,0,-1,1,0,1
80017,攻击增加,FixP2,Effect_Buff_GongJiLiJiangDi_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80018,攻击降低,FixP2,Effect_Buff_GongJiLiZengJia_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80019,攻速增加,FixP2,Effect_Buff_GongJiSuDuJiangDi_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80020,攻速降低,FixP2,Effect_Buff_GongJiSuDuZengJia_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80021,禁锢,FixP2,Effect_Buff_JinGu_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80022,移动增加,FixP2,Effect_Buff_YiDongSuDuZengJia_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80023,中毒,FixP2,Effect_Buff_ZhongDu_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80024,状态降低1,FixP2,Effect_Buff_ZhuangTaiJiangDi_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80025,状态降低2,FixP2,Effect_Buff_ZhuangTaiJiangDi_02_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80026,状态增加1,FixP2,Effect_Buff_ZhuangTaiZengJia_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80027,状态增加2,FixP2,Effect_Buff_ZhuangTaiZengJia_02_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80028,冰冻,FixP2,Effect_Buff_BingDong_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80029,暴击降低,FixP2,Effect_Buff_BaoJiJiangDi_01_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80030,Buff光环,FixP2,Effect_ZD_buff,FixP2,1,-1,36000,1,-1,1,0,1
80031,,FixP2,Effect_FZD_Feng_dianqiu,FixP2,1,-1,6,0,-1,1,0,1
80032,,FixP2,Effect_FZD_Feng_fengren,FixP2,1,-1,6,0,-1,1,0,1
80033,,FixP2,Effect_FZD_Feng_luolei,FixP2,1,-1,6,0,-1,1,0,1
80034,,FixP2,Effect_FZD_Huo_huodan,FixP2,1,-1,6,0,-1,1,0,1
80035,,FixP2,Effect_FZD_Huo_huoqiu,FixP2,1,-1,6,0,-1,1,0,1
80036,,FixP2,Effect_FZD_Huo_huoren,FixP2,1,-1,6,0,-1,1,0,1
80037,,FixP2,Effect_FZD_S_bingjian,FixP2,1,-1,6,0,-1,1,0,1
80038,,FixP2,Effect_FZD_S_bingjian02,FixP2,1,-1,6,0,-1,1,0,1
80039,,FixP2,Effect_FZD_S_dajianren,FixP2,1,-1,6,0,-1,1,0,1
80040,,FixP2,Effect_FZD_S_fenghuang,FixP2,1,-1,6,0,-1,1,0,1
80041,,FixP2,Effect_FZD_S_huojian,FixP2,1,-1,6,0,-1,1,0,1
80042,,FixP2,Effect_FZD_S_huojian02,FixP2,1,-1,6,0,-1,1,0,1
80043,,FixP2,Effect_FZD_S_jianren_01,FixP2,1,-1,6,0,-1,1,0,1
80044,,FixP2,Effect_FZD_S_jianren_02,FixP2,1,-1,6,0,-1,1,0,1
80045,,FixP2,Effect_FZD_S_jianshi,FixP2,1,-1,6,0,-1,1,0,1
80046,,FixP2,Effect_FZD_Tu_feishi,FixP2,1,-1,6,0,-1,1,0,1
80047,,FixP2,Effect_JianXue_A,FixP2,1,-1,6,0,-1,1,0,1
80048,,FixP2,Effect_ShanBi_A_FixP2,FixP2,1,-1,6,0,-1,1,0,1
80049,,FixP2,Effect_Trap_PaoLuo_01_01_A,FixP2,1,-1,6,0,-1,1,0,1
80050,,FixP2,Effect_ZD_Bing_bingci,FixP2,1,-1,6,0,-1,1,0,1
80051,,FixP2,Effect_ZD_Bing_bingyu,FixP2,1,-1,6,0,-1,1,0,1
80052,,FixP2,Effect_ZD_Bing_dabingzhui,FixP2,1,-1,6,0,-1,1,0,1
80053,,FixP2,Effect_ZD_buff,FixP2,1,-1,6,0,-1,1,0,1
80054,,FixP2,Effect_ZD_Feng_longjuanfeng,FixP2,1,-1,6,0,-1,1,0,1
80055,,FixP2,Effect_ZD_Feng_xiaoxuanfeng,FixP2,1,-1,6,0,-1,1,0,1
80056,,FixP2,Effect_ZD_Huo_dabaozha,FixP2,1,-1,6,0,-1,1,0,1
80057,,FixP2,Effect_ZD_Huo_dahuoqiu,FixP2,1,-1,6,0,-1,1,0,1
80058,,FixP2,Effect_ZD_Huo_dihuo,FixP2,1,-1,6,0,-1,1,0,1
80059,,FixP2,Effect_ZD_Huo_huoyanpenfa,FixP2,1,-1,6,0,-1,1,0,1
80060,,FixP2,Effect_ZD_Huo_huoyu,FixP2,1,-1,6,0,-1,1,0,1
80061,,FixP2,Effect_ZD_Huo_xiaobaozha,FixP2,1,-1,6,0,-1,1,0,1
80062,,FixP2,Effect_ZD_S_jianyu,FixP2,1,-1,6,0,-1,1,0,1
80063,,FixP2,Effect_ZD_Tu_bengdi,FixP2,1,-1,6,0,-1,1,0,1
80064,,FixP2,Effect_ZD_Tu_dushuitan,FixP2,1,-1,6,0,-1,1,0,1
80065,,FixP2,Effect_ZD_Tu_liusha,FixP2,1,-1,6,0,-1,1,0,1
80066,,FixP2,Effect_FZD_S_dajianshi,FixP2,1,-1,6,0,-1,1,0,1
80067,,FixP2,Effect_ZD_Bing_binghuan,FixP2,1,-1,6,0,-1,1,0,1
80068,,FixP2,Effect_ZD_Feng_daluolei,FixP2,1,-1,6,0,-1,1,0,1
80069,,FixP2,Effect_ZD_Feng_leiqiu,FixP2,1,-1,6,0,-1,1,0,1
80070,,FixP2,Effect_ZD_Feng_qunlei,FixP2,1,-1,6,0,-1,1,0,1
80071,,FixP2,Effect_ZD_Tu_luoshi,FixP2,1,-1,6,0,-1,1,0,1
80072,,FixP2,Effect_ShiFa_Huo_01,FixP2,1,-1,6,0,-1,1,0,1
80073,,FixP2,Effect_ZD_S_shengguang,FixP2,1,-1,6,0,-1,1,0,1
80074,,FixP2,Effect_GongJi_Huo_01,FixP2,1,-1,6,0,-1,1,0,1
80075,,FixP2,Effect_FZD_Tu_turen,FixP2,1,-1,6,0,-1,1,0,1
80076,,FixP2,Effect_FZD_Bing_bingzhui,FixP2,1,-1,6,0,-1,1,0,1
80077,,FixP2,Effect_Buff_ZhuoShao_02,FixP2,1,-1,36000,0,-1,1,0,1
80078,,FixP2,Effect_Buff_GuangHuan_01,FixP2,1,-1,36000,0,-1,1,0,1
80079,,Bip001 Spine,Effect_Buff_FengSha_01,Bip001 Spine,1,-1,36000,0,-1,1,0,1
80080,,Bip001 Spine1,Effect_Buff_ChiHuan_01,Bip001 Spine1,1,-1,36000,0,-1,1,0,1
80081,,FixP2,Effect_Buff_BingFeng_01,FixP2,1,-1,36000,0,-1,1,0,1
80082,,Bip001 Spine,Effect_Buff_FaShuFangYu_01_FixP2,Bip001 Spine,1,-1,36000,0,-1,1,0,1
80083,,Bip001 Spine,Effect_Buff_FaShuGongJi_02_FixP2,Bip001 Spine,1,-1,36000,0,-1,1,0,1
80084,,FixP2,Effect_Buff_GuangHuan_02,FixP2,1,-1,36000,0,-1,1,0,1
80085,,FixP2,Effect_Buff_GuangHuan_03,FixP2,1,-1,36000,0,-1,1,0,1
80086,,FixP2,Effect_Buff_GuangHuan_04,FixP2,1,-1,36000,0,-1,1,0,1
80087,,FixP2,Effect_Buff_GuangHuan_05,FixP2,1,-1,36000,0,-1,1,0,1
80088,,FixP2,Effect_Buff_HuDun_02_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80089,,FixP2,Effect_Buff_HuDun_03_FixP2,FixP2,1,-1,36000,1,-1,1,0,1
80090,,FixP2,Effect_Buff_RenXingJiangDi_01,FixP2,1,-1,36000,1,-1,1,0,1
80091,,FixP2,Effect_Buff_RenXingZengJia_01,FixP2,1,-1,36000,1,-1,1,0,1
80092,,Bip001 Spine,Effect_Buff_WuShuangHuiFu_01_FixP2,Bip001 Spine,1,-1,36000,0,-1,1,0,1
80093,,Bip001 Spine,Effect_Buff_XiXue_01_FixP2,Bip001 Spine,1,-1,36000,0,-1,1,0,1
80094,,FixP2,Effect_FZD_Feng_dianguang,FixP2,1,-1,6,0,-1,1,0,1
80095,,FixP2,Effect_FZD_Huo_dahuodan,FixP2,1,-1,6,0,-1,1,0,1
80096,,FixP2,Effect_GongJi_Feng_01,FixP2,1,-1,6,0,-1,1,0,1
80097,,FixP2,Effect_GongJi_Huo_01,FixP2,1,-1,6,0,-1,1,0,1
80098,,FixP2,Effect_GongJi_QiTa_01,FixP2,1,-1,6,0,-1,1,0,1
80099,,FixP2,Effect_GongJi_Shui_01,FixP2,1,-1,6,0,-1,1,0,1
80100,,FixP2,Effect_GongJi_Tu_01,FixP2,1,-1,6,0,-1,1,0,1
80101,,FixP2,Effect_ShiFa_Feng_01,FixP2,1,-1,6,0,-1,1,0,1
80102,,FixP2,Effect_ShiFa_Huo_01,FixP2,1,-1,6,0,-1,1,0,1
80103,,FixP2,Effect_ShiFa_QiTa_01,FixP2,1,-1,6,0,-1,1,0,1
80104,,FixP2,Effect_ShiFa_Shui_01,FixP2,1,-1,6,0,-1,1,0,1
80105,,FixP2,Effect_ShiFa_Tu_01,FixP2,1,-1,6,0,-1,1,0,1
80106,,FixP2,Effect_Buff_GeDangJiangDi_01,FixP2,1,-1,36000,1,-1,1,0,1
80107,,FixP2,Effect_Buff_GeDangZengJia_01,FixP2,1,-1,36000,1,-1,1,0,1
#特殊特效,,,,,,,,,,,,
90001,点击,FixP2,effect_click_a,FixP2,1,-1,999,0,-1,1,0,1
90002,出场,FixP2,effect_char_chuchang_fixp2,FixP2,0,-1,3,0,-1,1,0,1
90003,霸体破甲,FixP2,effect_char_pojia_fixp2,FixP2,1,-1,3,0,-1,1,0,1
90004,死亡,Hit,effect_dead_a_hit,Hit,1,-1,3,0,-1,1,0,1
90005,子弹箭头,sole,TX_zidan_jiantou,sole,1,-1,999,0,-1,1,0,1
90006,提示箭头,FixP2,TX_zidan_dianjijiantou,FixP2,1,-1,999,0,-1,1,0,1
90007,敌兵出场,FixP2,Effect_Common_EnemyChuChang_FixP2,FixP2,0,-1,2,0,-1,1,0,1
90008,敌兵攻击,sole,Effect_Common_StartAttack_sole,sole,1,-1,2,0,-1,1,0,1
90009,死亡,Hit,Effect_Dead_B_Hit,Hit,1,-1,3,0,-1,1,0,1
#其他特效,,,,,,,,,,,,
100000,掉落球-红,FixP2,Effect_Drop_ball_01_FixP2,FixP2,1,-1,999,0,-1,1,0,0
100001,掉落球-蓝,FixP2,Effect_Drop_ball_02_FixP2,FixP2,1,-1,999,0,-1,1,0,0
100002,掉落球-黄,FixP2,Effect_Drop_ball_03_FixP2,FixP2,1,-1,999,0,-1,1,0,0
100003,掉落球-绿,FixP2,Effect_Drop_ball_04_FixP2,FixP2,1,-1,999,0,-1,1,0,0
100004,掉落球-紫,FixP2,Effect_Drop_ball_05_FixP2,FixP2,1,-1,999,0,-1,1,0,0
#男性武将,,,,,,,,,,,,
#申公豹,,,,,,,,,,,,
3000000,普通攻击,FixP2,effect_hero_shengongbao_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3020000,技能攻击,FixP2,effect_hero_shengongbao_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#纣王,,,,,,,5,,,,,
3100000,普通攻击,FixP2,effect_hero_zhouwang_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3120000,刀火如龙,FixP2,effect_hero_zhouwang_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3130000,如龙飞虎,FixP2,Effect_Hero_ZhouWang_01_Skill_02_A_FixP2,FixP2,1,-1,5,1,-1,1,1,1
3140000,防御护体,FixP2,Effect_Buff_HuiFuShengMin_01_FixP2,FixP2,1,-1,1,0,-1,1,0,1
#姜子牙,,,,,,,5,,,,,
3200000,普通攻击,FixP2,effect_hero_jiangziya_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3240000,雷电交加,FixP2,effect_hero_jiangziya_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#杨戬,,,,,,,5,,,,,
3300000,普通攻击,FixP2,effect_hero_yangjian_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3320000,怒目金光,head,Effect_Hero_YangJian_01_Skill_02_A_Head,head,1,-1,5,1,-1,1,1,1
3330000,飞天怒刺,FixP2,effect_hero_yangjian_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3340000,反击护盾,FixP2,Effect_ShiFa_QiTa_01,FixP2,1,-1,1,0,-1,1,0,1
#雷震子,,,,,,,,,,,,
3400000,普通攻击,FixP2,effect_hero_leizhenzi_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3420000,雷神之怒,FixP2,Effect_ShiFa_Shui_01,FixP2,1,-1,2,0,-1,1,0,1
3420001,雷神之怒,FixP2,Effect_GongJi_Shui_01,FixP2,1,-1,1,0,-1,1,0,1
3430000,雷电冲击,FixP2,effect_hero_leizhenzi_01_skill_01_start_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3430001,雷电冲击,sole,effect_hero_leizhenzi_01_skill_01_hit_a_sole,sole,1,-1,5,1,-1,1,1,1
#白起,,,,,,,,,,,,
3500000,普通攻击,FixP2,effect_hero_baiqi_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3520000,破甲攻击,FixP2,Effect_Hero_BaiQi_01_Skill_02_A_FixP2,FixP2,1,3,1,0,-1,1,0,1
3530000,突刺,FixP2,effect_hero_baiqi_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#哪咤,,,,,,,,,,,,
3600000,普通攻击,FixP2,effect_hero_nezha_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3620000,风火轮,FixP2,effect_hero_nezha_01_skill_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3630000,冲刺,FixP2,effect_hero_nezha_01_skill_02_start_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
3630001,冲刺,sole,effect_hero_nezha_01_skill_02_hit_a_sole,sole,1,-1,5,1,-1,1,1,1
3630002,冲刺,sole,effect_hero_nezha_01_skill_02_end_a_sole,sole,1,-1,5,1,-1,1,1,1
3650000,不死莲花,sole,effect_hero_nezha_01_skill_03_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
#典韦,,,,,,,,,,,,
3700000,普通攻击,FixP2,effect_hero_dianwei_01_attack_01_a_fixp2,FixP2,1,-1,5,1,-1,1,1,1
