"Id
===
Id
===
int-c","名字
===
Name
===
string-c","描述
===
Desc
===
string-c","图像512
===
Icon512
===
string-c","图像256
===
Icon256
===
string-c","图像128
===
Icon128
===
string-c","图像64
===
Icon64
===
string-c","图像32
===
Icon32
===
string-c","模型主题文件
===
ModelBodyFile
===
string-c","模型网格文件
===
ModelMeshFile
===
string-c","材质文件0
===
MaterialFiles0
===
string-c","材质文件1
===
MaterialFiles1
===
string-c","材质文件2
===
MaterialFiles2
===
string-c","特效0.特效挂载点
===
Effects0.Point
===
string-c","特效0.特效文件
===
Effects0.File
===
string-c","特效1.特效挂载点
===
Effects1.Point
===
string-c","特效1.特效文件
===
Effects1.File
===
string-c","特效2.特效挂载点
===
Effects2.Point
===
string-c","特效2.特效文件
===
Effects2.File
===
string-c","缩放百分比
===
ScalePercent
===
float-c","模型长度
===
Lenght
===
float-c","模型宽度
===
Width
===
float-c","模型高度
===
Hight
===
float-c","动作ID
===
ActionId
===
int-c","移动半径
===
NavRange
===
float-c","碰撞半径
===
ColliderRange
===
float-c","碰撞高度
===
ColliderHight
===
float-c","被击音效0
===
BeHitSound0
===
int-c","被击音效1
===
BeHitSound1
===
int-c","被击音效2
===
BeHitSound2
===
int-c","被击音效3
===
BeHitSound3
===
int-c","行走音效
===
MoveSound
===
int-c"
105,白起,白起,hero_p_baiqi,hero_baiqi,Head_Hero_baiqi,Head_Hero_baiqi,Head_Hero_baiqi,Hero_BaiQi_01_AM,,hero_baiqi_01,,,FixP1,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
106,哪吒,哪吒,hero_p_nezha,hero_nezha,Head_Hero_nezha,Head_Hero_nezha,Head_Hero_nezha,Hero_NeZha_01_AM,,hero_nezha_01,,,Etc01,effect_hero_nezha_01_a_etc01,Etc02,effect_hero_nezha_01_a_etc01,,,1,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
107,典韦,典韦,hero_p_dianwei,hero_dianwei,Head_Hero_dianwei,Head_Hero_dianwei,Head_Hero_dianwei,Hero_DianWei_01_AM,,hero_dianwei_01,,,FixP1,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
108,闻仲,闻仲,hero_p_wenzhong,hero_wenzhong,Head_Hero_wenzhong,Head_Hero_wenzhong,Head_Hero_wenzhong,Hero_WenZhong_01_AM,,hero_wenzhong_01,,,FixP1,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
109,鲁班,鲁班,hero_p_luban,hero_luban,Head_Hero_luban,Head_Hero_luban,Head_Hero_luban,Hero_LuBan_01_AM,,hero_luban_01,,,,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
110,狄仁杰,狄仁杰,hero_p_direnjie,hero_direnjie,Head_Hero_direnjie,Head_Hero_direnjie,Head_Hero_direnjie,Hero_DiRenJie_01_AM,,hero_direnjie_01,,,,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
111,廉颇,廉颇,hero_p_lianpo,hero_lianpo,Head_Hero_lianpo,Head_Hero_lianpo,Head_Hero_lianpo,Hero_LianPo_01_AM,,hero_LianPo_01,,,,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
112,赵云,赵云,hero_p_zhaoyun,hero_zhaoyun,Head_Hero_zhaoyun,Head_Hero_zhaoyun,Head_Hero_zhaoyun,Hero_ZhaoYun_01_AM,,hero_zhaoyun_01,,,,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
113,曹操,曹操,hero_p_caocao,hero_caocao,Head_Hero_caocao,Head_Hero_caocao,Head_Hero_caocao,Hero_CaoCao_01_AM,,hero_CaoCao_01,,,,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
114,荆轲,荆轲,hero_p_jingke,hero_jingke,Head_Hero_jingke,Head_Hero_jingke,Head_Hero_jingke,Hero_JingKe_01_AM,,hero_JingKe_01,,,,,,,,,1.2,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
#女性BOSS将领,,,,,,,,,,,,,,,,,,,,,,,,2,2,,-1,-1,-1,-1,
200,妲己,妲己,hero_p_daji,hero_daji,Head_Hero_daji,Head_Hero_daji,Head_Hero_daji,Hero_DaJi_01_AM,,hero_daji_01,,,FixP1,,,,,,1,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
201,貂蝉,貂蝉,hero_p_diaochan,hero_diaochan,Head_Hero_diaochan,Head_Hero_diaochan,Head_Hero_diaochan,Hero_DiaoChan_01_AM,,hero_diaochan_01,,,Weapon,Effect_Hero_DiaoChan_Weapon,,,,,1,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
202,西施,西施,hero_p_xishi,hero_xishi,Head_Hero_xishi,Head_Hero_xishi,Head_Hero_xishi,Hero_XiShi_01_AM,,hero_xishi_01,,,,,,,,,1,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
203,杨贵妃,杨贵妃,hero_p_yangguifei,hero_yangguifei,Head_Hero_yangguifei,Head_Hero_yangguifei,Head_Hero_yangguifei,Hero_YangGuiFei_01_AM,,hero_yangguifei_01,,,,,,,,,1,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
204,武则天,武则天,hero_p_wuzetian,hero_wuzetian,Head_Hero_wuzetian,Head_Hero_wuzetian,Head_Hero_wuzetian,Hero_WuZeTian_01_AM,,hero_wuzetian_01,,,,,,,,,1,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
#怪物BOSS将领,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,
301,火麒麟,火麒麟,Head_Hero_042,Head_Hero_042,Head_Boss_tongyong,Head_Hero_042,Head_Hero_042,Mon_HuoQiLin_01_AM,,mon_huoqilin_01,,,FixP1,,,,,,1,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
302,水麒麟,水麒麟,Head_Hero_043,Head_Hero_043,Head_Boss_tongyong,Head_Hero_043,Head_Hero_043,Mon_HuoQiLin_01_AM,,mon_shuiqilin_01,,,FixP1,,,,,,1,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
303,墨麒麟,墨麒麟,Head_Hero_044,Head_Hero_044,Head_Boss_tongyong,Head_Hero_044,Head_Hero_044,Mon_HuoQiLin_01_AM,,mon_moqilin_01,,,FixP1,,,,,,1,1,1,1,6,2,2,2,-1,-1,-1,-1,-1
#敌兵类,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,
400,刀兵,刀兵,TX-boss-AoRun,UI-Pet-Avatar-ShenGongBao,Head_Boss_tongyong,UI-Pet-Avatar-ShenGongBao,TX-boss-AoRun,Mon_ShuangDaoBing_01_AM,,mon_shuangdaobing_01,,,FixP1,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
401,刀兵队长,刀兵队长,TX-boss-AoRun,UI-Pet-Avatar-ShenGongBao,Head_Boss_tongyong,UI-Pet-Avatar-ShenGongBao,TX-boss-AoRun,Mon_ShuangDaoDuiZhang_01_AM,,mon_shuangdaoduizhang_01,,,FixP1,,,,,,1.1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
402,锤兵,锤兵,TX-boss-AoRun,UI-Pet-Avatar-ShenGongBao,Head_Boss_tongyong,UI-Pet-Avatar-ShenGongBao,TX-boss-AoRun,Mon_ChuiBing_01_AM,,mon_chuibing_01,,,FixP1,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
403,锤兵队长,锤兵队长,TX-boss-AoRun,UI-Pet-Avatar-ShenGongBao,Head_Boss_tongyong,UI-Pet-Avatar-ShenGongBao,TX-boss-AoRun,Mon_ChuiBingDuiZhang_01_AM,,mon_chuibingduizhang_02,mon_chuibingduizhang_01,,FixP1,,,,,,1.2,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
404,女杀手,女杀手,TX-boss-AoRun,UI-Pet-Avatar-ShenGongBao,Head_Boss_tongyong,UI-Pet-Avatar-ShenGongBao,TX-boss-AoRun,Mon_ShaShouTouLing_01_AM,,mon_nvshashou_01,,,FixP1,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
405,杀手头领,杀手头领,TX-boss-AoRun,UI-Pet-Avatar-ShenGongBao,Head_Boss_tongyong,UI-Pet-Avatar-ShenGongBao,TX-boss-AoRun,Mon_ShaShouTouLing_01_AM,,mon_shashoutouling_01,,,FixP1,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
406,剑兵,剑兵,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_JianBingDuiZhang_01_AM,,mon_jianbing_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
407,剑兵队长,剑兵队长,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_JianBingDuiZhang_01_AM,,mon_jianbingduizhang_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
408,拳师,拳师,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_QuanShiJiaoTou_01_AM,,mon_quanshi_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
409,拳师教头,拳师教头,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_QuanShiJiaoTou_01_AM,,mon_quanshijiaotou_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
410,老乞丐,老乞丐,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_GaiBangZhangLao_01_AM,,mon_gaibangzhanglao_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
411,男道士,幼鹰,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_NanDaoShi_01_AM,,mon_nandaoshi_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
412,男道士头领,男道士头领,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_NanDaoShiTouLing_01_AM,,mon_nandaoshitouling_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
413,大斧兵,大斧兵,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_DaFuBing_01_AM,,mon_dafubing_01,mon_fubingduizhang_01,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
414,斧兵队长,斧兵队长,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_DaFuBing_01_AM,,mon_fubingduizhang_01,mon_fubingduizhang_02,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
415,刀盾兵,刀盾兵,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_DaoDunBing_01_AM,,mon_daodunbing_02,mon_daodunbing_01,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
416,护卫队长,护卫队长,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_HuWeiDuiZhang_01_AM,,mon_huweiduizhang_02,mon_huweiduizhang_01,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
417,持斧山贼,幼鹰,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_ChiFuShanZeiDuiZhang_01_AM,,mon_chifushanzei_01,mon_chifushanzeiduizhang_02,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
418,持斧山贼队长,幼鹰,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_ChiFuShanZeiDuiZhang_01_AM,,mon_chifushanzeiduizhang_01,mon_chifushanzeiduizhang_02,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
419,弓箭兵,幼鹰,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_GongJianBing_01_AM,,mon_gongjianbing_01,mon_gongbingduizhang_02,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
420,弓箭兵队长,幼鹰,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_GongBingDuiZhang_01_AM,,mon_gongbingduizhang_01,mon_gongbingduizhang_02,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
421,少林棍僧,幼鹰,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_ShaoLinGunSeng_01_AM,,mon_shaolingunseng_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
422,棍僧队长,幼鹰,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_GunSengDuiZhang_01_AM,,mon_gunsengduizhang_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
#动物敌兵类,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,
500,水牛,水牛,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_ShuiNiu_01_AM,,mon_shuiniu_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
501,长角水牛,长角水牛,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_ChangJiaoManNiu_01_AM,,mon_changjiaomanniu_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
502,刺虎,刺虎,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_CiHu_01_AM,,mon_cihu_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
503,铁背妖虎,铁背妖虎,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_TieBeiYaoHu_01_AM,,mon_tiebeiyaohu_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
504,幼鹰,幼鹰,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_YouYing_01_AM,,mon_youying_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
505,噬骨巨鹰,噬骨巨鹰,TX-boss-ShuWang,TX-boss-ShuWang,Head_Boss_tongyong,TX-boss-ShuWang,TX-boss-ShuWang,Mon_ShiGuJuYing_01_AM,,mon_shigujuying_01,,,,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
#陷阱类,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,
700,地刺,地刺,TX-boss-AoRun,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,TX-boss-AoRun,Trap_DiCi_01_AM,,trap_dici_01,,,Bone001,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
701,炮烙,炮烙,TX-boss-AoRun,Pet_BaiQi,Pet_BaiQi,Pet_BaiQi,TX-boss-AoRun,Trap_PaoLuo_01_AM,,trap_paoluo_01,,,Dummy001,,,,,,1,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
702,箭塔,箭塔,TX-boss-AoRun,Pet_BaiQi,Pet_BaiQi,Pet_BaiQi,TX-boss-AoRun,Trap_JianTa_01_AM,,Trap_JianTa_01,,,,,,,,,0.7,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
703,地刺2,地刺2,TX-boss-AoRun,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,TX-boss-AoRun,Trap_DiCi_02_AM,,trap_dici_02,trap_dici_02_02,,Bone001,,,,,,1.2,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
704,箭塔2,箭塔2,TX-boss-AoRun,Pet_BaiQi,Pet_BaiQi,Pet_BaiQi,TX-boss-AoRun,Trap_JianTa_01_AM,,Trap_JianTa_01,,,,,,,,,0.7,1,1,1,6,1.2,1,2,-1,-1,-1,-1,-1
705,炮烙2,炮烙2,TX-boss-AoRun,Pet_BaiQi,Pet_BaiQi,Pet_BaiQi,TX-boss-AoRun,Trap_PaoLuo_01_AM,,trap_paoluo_01,,,Dummy001,,,,,,0.2,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
706,地刺2,地刺2,TX-boss-AoRun,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,TX-boss-AoRun,Trap_DiCi_02_AM,,trap_dici_02,trap_dici_02_02,,Bone001,,,,,,1.3,1,1,1,6,0.5,0.5,2,-1,-1,-1,-1,-1
#特殊物件,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,
800,阻挡,阻挡测试,TX-boss-AoRun,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,TX-boss-AoRun,KongQiQiang,,,,,FixP1,,,,,,1,1,1,1,8,4,0.5,2,-1,-1,-1,-1,-1
801,空气墙,阻挡测试,TX-boss-AoRun,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,UI-Pet-Avatar-HuoQiLin,TX-boss-AoRun,KongQiQiang,,,,,Dummy001,KongQiQiang,,,,,1,1,1,1,-1,3,0.5,2,-1,-1,-1,-1,-1
802,宝箱,宝箱,,,,,,Drop_BaoXiang_01_SM,,,,,,,,,,,1,1,1,1,-1,0.5,1.5,1,-1,-1,-1,-1,-1
803,目的地特效,目的地特效,,,,,,TX_zidan_dianjijiantou,,,,,,,,,,,1,1,1,1,-1,0,0,0,-1,-1,-1,-1,-1
#1000之后为道具,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,
1000,掉落显示专用,掉落显示专用,,,,,,Effect_Drop_ball_01_FixP2,,,,,,,,,,,1,1,1,1,-1,0.5,1.5,1,-1,-1,-1,-1,-1
1001,一级赤戟石,一级赤戟石,Gem_pink_001,Gem_pink_001,Gem_pink_001,Gem_pink_001,Gem_pink_001,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1002,二级赤戟石,二级赤戟石,Gem_pink_002,Gem_pink_002,Gem_pink_002,Gem_pink_002,Gem_pink_002,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1003,三级赤戟石,三级赤戟石,Gem_pink_003,Gem_pink_003,Gem_pink_003,Gem_pink_003,Gem_pink_003,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1004,四级赤戟石,四级赤戟石,Gem_pink_004,Gem_pink_004,Gem_pink_004,Gem_pink_004,Gem_pink_004,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1005,五级赤戟石,五级赤戟石,Gem_pink_005,Gem_pink_005,Gem_pink_005,Gem_pink_005,Gem_pink_005,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1006,六级赤戟石,六级赤戟石,Gem_pink_006,Gem_pink_006,Gem_pink_006,Gem_pink_006,Gem_pink_006,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1007,七级赤戟石,七级赤戟石,Gem_pink_007,Gem_pink_007,Gem_pink_007,Gem_pink_007,Gem_pink_007,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1008,八级赤戟石,八级赤戟石,Gem_pink_008,Gem_pink_008,Gem_pink_008,Gem_pink_008,Gem_pink_008,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1009,九级赤戟石,九级赤戟石,Gem_pink_009,Gem_pink_009,Gem_pink_009,Gem_pink_009,Gem_pink_009,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1010,十级赤戟石,十级赤戟石,Gem_pink_010,Gem_pink_010,Gem_pink_010,Gem_pink_010,Gem_pink_010,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
1011,一级冥皇石,一级冥皇石,Gem_purple_001,Gem_purple_001,Gem_purple_001,Gem_purple_001,Gem_purple_001,Drop_BaoXiang_01_SM,,drop_baoxiang_01,,,FixP1,,,,,,1,1,1,1,-1,0.5,2,2,-1,-1,-1,-1,-1
